Sentence	entity_1	json	split
Comparison of the backbone dynamics of the apo - and holo - carboxy - terminal domain of the biotin carboxyl carrier subunit of Escherichia coli acetyl - CoA carboxylase.	biotin carboxyl carrier subunit,93,124,Protein	"[{""token"": ""biotin carboxyl carrier subunit"", ""start_span"": 93, ""end_span"": 124, ""type"": ""Protein""}]"	train
Since the dynamic properties of proteins are correlated with local structural environments, we have determined the relaxation parameters of the backbone 15N nuclear spins of holoBCCP87, and compared these with the data obtained for the apo protein.	holoBCCP87,174,184,Protein	"[{""token"": ""holoBCCP87"", ""start_span"": 174, ""end_span"": 184, ""type"": ""Protein""}]"	train
New isoforms of apolipoprotein ( apo) C - I and apoC - III have been detected in delipidated fractions from very low density lipoprotein ( VLDL) using matrix - assisted laser desorption ( MALDI) and electrospray ionization ( ESI) mass spectrometry ( MS).	apoC - III,48,58,Protein	"[{""token"": ""apoC - III"", ""start_span"": 48, ""end_span"": 58, ""type"": ""Protein""}]"	train
The cleavage sites of truncated apoC - III isoforms have also been identified.	apoC - III,32,42,Protein	"[{""token"": ""apoC - III"", ""start_span"": 32, ""end_span"": 42, ""type"": ""Protein""}]"	train
Fifteen apoC isoforms and apoE were identified in the MALDI spectra and the existence of the more abundant species was verified by ESI - MS.	apoE,26,30,Protein	"[{""token"": ""apoE"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}]"	train
ApoC - II was found to be particularly sensitive to in vitro oxidation.	ApoC - II,0,9,Protein	"[{""token"": ""ApoC - II"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}]"	train
The dynamic range and specificity of the MALDI assay shows that the complete apoC isoform profile and apoE phenotype can be obtained in a single measurement from the delipidated VLDL fraction.	apoE,102,106,Protein	"[{""token"": ""apoE"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}]"	train
Evidence is presented that halogenated furanones displace tritiated OHHL [ N - 3 - ( oxohexanoyl) - L - homoserine lactone] from Escherichia coli cells overproducing LuxR with potencies corresponding to their respective inhibitory activities in an AHL - regulated bioluminescence assay, indicating that this is the mechanism by which furanones inhibit AHL - dependent phenotypes.	LuxR,166,170,Protein	"[{""token"": ""LuxR"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}]"	train
These results support the contention that furanones, at the concentrations produced by the alga, can control bacterial colonization of surfaces by specifically interfering with AHL - mediated gene expression at the level of the LuxR protein.	LuxR,228,232,Protein	"[{""token"": ""LuxR"", ""start_span"": 228, ""end_span"": 232, ""type"": ""Protein""}]"	train
Of them, a major SUMO - 1 C - terminal hydrolase had been partially purified by successive chromatographic operations.	SUMO - 1,17,25,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Protein""}]"	train
Cell cycle - regulated attachment of the ubiquitin - related protein SUMO to the yeast septins.	ubiquitin,41,50,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 41, ""end_span"": 50, ""type"": ""Protein""}]"	train
SUMO is a ubiquitin - related protein that functions as a posttranslational modification on other proteins.	ubiquitin,10,19,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Protein""}]"	train
These effects were not observed upon introduction of a similar mutant form of Rab5.	Rab5,78,82,Protein	"[{""token"": ""Rab5"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Protein""}]"	train
This loop was subjected to various modifications by directed mutagenesis of a sub - gene encoding a lipoyl domain of Escherichia coli E2p.	E2p,134,137,Protein	"[{""token"": ""E2p"", ""start_span"": 134, ""end_span"": 137, ""type"": ""Protein""}]"	train
However, the modified domain remained unable to undergo reductive succinylation by E1o in the presence of 2 - oxoglutarate.	E1o,83,86,Protein	"[{""token"": ""E1o"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Protein""}]"	train
Nucleotide sequence analysis revealed that the cloned cDNA contains an open reading frame of 1, 143 base pairs encoding a novel protease, USP21, which is composed of 381 residues with a calculated molecular mass of 43 kDa.	USP21,138,143,Protein	"[{""token"": ""USP21"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Protein""}]"	train
The activity and specificity of USP21 were determined by using a COS cell expression system in vivo.	USP21,32,37,Protein	"[{""token"": ""USP21"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Protein""}]"	train
As expected from its biochemical activity, overexpression of USP21 has a profound growth inhibitory effect on U2OS cells.	USP21,61,66,Protein	"[{""token"": ""USP21"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Protein""}]"	train
We have previously demonstrated that H - ras61L retained transforming activity when lacking C - terminal lipid modifications, provided that plasma membrane localization was restored by an N - terminal transmembrane domain.	H - ras61L,37,47,Protein	"[{""token"": ""H - ras61L"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Protein""}]"	train
Since several ras - activated pathways contribute to the transformed phenotype, we utilized a novel set of transmembrane domain - anchored H - ras derivatives to examine if lipids are required for activation of any specific signaling pathways.	H - ras,139,146,Protein	"[{""token"": ""H - ras"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Protein""}]"	train
Biochemical fractionation experiments confirm the localization of TM - ras derivatives to the plasma membrane, as well as the ras - mediated recruitment of c - Raf - 1.	c - Raf - 1,156,167,Protein	"[{""token"": ""c - Raf - 1"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Protein""}]"	train
