Sentence	entity_1	entity_2	json	split
The biotin carboxyl carrier protein ( BCCP) is a subunit of acetyl - CoA carboxylase, a biotin - dependent enzyme that catalyzes the first committed step of fatty acid biosynthesis.	biotin carboxyl carrier protein,4,35,Protein	BCCP,38,42,Protein	"[{""token"": ""biotin carboxyl carrier protein"", ""start_span"": 4, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""BCCP"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}]"	train
Holo - BCCP then interacts with the biotin carboxylase subunit of acetyl - CoA carboxylase, which leads to the addition of the carboxylate group of bicarbonate to biotin.	BCCP,7,11,Protein	biotin carboxylase subunit of acetyl - CoA carboxylase,36,90,Protein	"[{""token"": ""BCCP"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""biotin carboxylase subunit of acetyl - CoA carboxylase"", ""start_span"": 36, ""end_span"": 90, ""type"": ""Protein""}]"	train
Finally, the carboxy - biotinylated form of BCCP interacts with transcarboxylase in the transfer of the carboxylate to acetyl - CoA to form malonyl - CoA.	BCCP,44,48,Protein	transcarboxylase,64,80,Protein	"[{""token"": ""BCCP"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""transcarboxylase"", ""start_span"": 64, ""end_span"": 80, ""type"": ""Protein""}]"	train
A fourth subject with type V hyperlipidemia exhibited an elevated apoC - III level and a suppressed level of the newly discovered truncated apoC - I isoform.	apoC - III,66,76,Protein	apoC - I,140,148,Protein	"[{""token"": ""apoC - III"", ""start_span"": 66, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""apoC - I"", ""start_span"": 140, ""end_span"": 148, ""type"": ""Protein""}]"	train
A new 30 - kDa ubiquitin - related SUMO - 1 hydrolase from bovine brain.	ubiquitin,15,24,Protein	SUMO - 1,35,43,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}]"	train
SUMO - 1 is a ubiquitin - like protein functioning as an important reversible protein modifier.	SUMO - 1,0,8,Protein	ubiquitin,14,23,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Protein""}]"	train
The activity of SUMO - 1 hydrolase was almost completely inhibited by N - ethylmaleimide, but not by phenylmethanesulfonyl fluoride, EDTA, and ubiquitin - aldehyde known as a potent inhibitor of deubiquitinylating enzymes.	SUMO - 1,16,24,Protein	ubiquitin,143,152,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 16, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 143, ""end_span"": 152, ""type"": ""Protein""}]"	train
The Rab4 isoform has been implicated in insulin action.	Rab4,4,8,Protein	insulin,40,47,Protein	"[{""token"": ""Rab4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Protein""}]"	train
Other steps affected by Rab4 in the cascade of events resulting from insulin receptor activation have not been elucidated.	Rab4,24,28,Protein	insulin receptor,69,85,Protein	"[{""token"": ""Rab4"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""insulin receptor"", ""start_span"": 69, ""end_span"": 85, ""type"": ""Protein""}]"	train
Our results support models of insulin signaling in which regulation of internal membrane trafficking plays a role in transduction of the insulin signal.	insulin,30,37,Protein	insulin,137,144,Protein	"[{""token"": ""insulin"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Protein""}]"	train
Deletion of the loop ( four residues) rendered the domain incapable of reductive acetylation by E. coli E1p in the presence of pyruvate, but insertion of a new loop ( six residues) corresponding to that in the E2o lipoyl domain partly restored this ability, albeit with a much lower rate.	E1p,104,107,Protein	E2o,210,213,Protein	"[{""token"": ""E1p"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""E2o"", ""start_span"": 210, ""end_span"": 213, ""type"": ""Protein""}]"	train
Identification of a novel isopeptidase with dual specificity for ubiquitin - and NEDD8 - conjugated proteins.	ubiquitin,65,74,Protein	NEDD8,81,86,Protein	"[{""token"": ""ubiquitin"", ""start_span"": 65, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Protein""}]"	train
