Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Intriguingly, the apparent molecular mass of the isolated SUMO - 1 hydrolase was approximately 30 kDa, which is significantly smaller than the recently identified yeast Smt3 / SUMO - 1 specific protease Ulp1.	SUMO - 1,58,66,Protein	Smt3,169,173,Protein	SUMO - 1,176,184,Protein	Ulp1,203,207,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""Smt3"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 176, ""end_span"": 184, ""type"": ""Protein""}, {""token"": ""Ulp1"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}]"	train
We have found that SUMO is attached to the septins Cdc3, Cdc11, and Shs1 / Sep7 specifically during mitosis, with conjugates appearing shortly before anaphase onset and disappearing abruptly at cytokinesis.	septins Cdc3,43,55,Protein	Cdc11,57,62,Protein	Shs1,68,72,Protein	Sep7,75,79,Protein	"[{""token"": ""septins Cdc3"", ""start_span"": 43, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""Cdc11"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""Shs1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""Sep7"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}]"	train
Expression of a mutant Rab4 lacking a prenylation site resulted in reduced insulin - dependent phosphorylation ofcytoplasmic and internal membrane - associated insulin receptor substrate - 1, leading to decreased insulin receptor substrate - 1 - associated phosphatidylinositol 3 ' - OH kinase activation and decreased Akt activation.	Rab4,23,27,Protein	insulin,75,82,Protein	insulin receptor substrate - 1,160,190,Protein	insulin receptor substrate - 1,213,243,Protein	"[{""token"": ""Rab4"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""insulin receptor substrate - 1"", ""start_span"": 160, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""insulin receptor substrate - 1"", ""start_span"": 213, ""end_span"": 243, ""type"": ""Protein""}]"	train
These data indicate that Rab4 or a Rab4 - associated protein is involved at one or more steps in propagating the insulin signal, in addition to any role it may play in the regulation of GLUT4 vesicle translocation.	Rab4,25,29,Protein	Rab4,35,39,Protein	insulin,113,120,Protein	GLUT4,186,191,Protein	"[{""token"": ""Rab4"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""Rab4"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""GLUT4"", ""start_span"": 186, ""end_span"": 191, ""type"": ""Protein""}]"	train
The lipoyl domains of the dihydrolipoyl acyltransferase ( E2p, E2o) components of the pyruvate and 2 - oxoglutarate dehydrogenase multienzyme complexes are specifically recognised by their cognate 2 - oxo acid decarboxylase ( E1p, E1o).	E2p,58,61,Protein	E2o,63,66,Protein	E1p,226,229,Protein	E1o,231,234,Protein	"[{""token"": ""E2p"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""E2o"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""E1p"", ""start_span"": 226, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""E1o"", ""start_span"": 231, ""end_span"": 234, ""type"": ""Protein""}]"	train
Furthermore, USP21 is capable of removing NEDD8 from NEDD8 conjugates but has no effect on Sentrin - 1 conjugates.	USP21,13,18,Protein	NEDD8,42,47,Protein	NEDD8,53,58,Protein	Sentrin - 1,91,102,Protein	"[{""token"": ""USP21"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 42, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""Sentrin - 1"", ""start_span"": 91, ""end_span"": 102, ""type"": ""Protein""}]"	train
Thus, USP21 is the first ubiquitin - specific protease shown to have dual specificity for both ubiquitin and NEDD8 and may play an important role in the regulation of cell growth.	USP21,6,11,Protein	ubiquitin,25,34,Protein	ubiquitin,95,104,Protein	NEDD8,109,114,Protein	"[{""token"": ""USP21"", ""start_span"": 6, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 25, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 95, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Protein""}]"	train
Impairment of mineralocorticoid receptor ( MR) - dependent biological response by oxidative stress and aging: correlation with post - translational modification of MR and decreased ADP - ribosylatable level of elongating factor 2 in kidney cells.	mineralocorticoid receptor,14,40,Protein	MR,43,45,Protein	MR,164,166,Protein	elongating factor 2,210,229,Protein	"[{""token"": ""mineralocorticoid receptor"", ""start_span"": 14, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""MR"", ""start_span"": 43, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""MR"", ""start_span"": 164, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""elongating factor 2"", ""start_span"": 210, ""end_span"": 229, ""type"": ""Protein""}]"	train
Previous studies identified a small fraction of putatively sumoylated topoisomerase I ( TOP1) under basal conditions ( approximately 1%), and anticancer camptothecins that trap the TOP1 - DNA covalent intermediate markedly increase the sumoylation of TOP1 ( < or = 10%).	topoisomerase I,70,85,Protein	TOP1,88,92,Protein	TOP1,181,185,Protein	TOP1,251,255,Protein	"[{""token"": ""topoisomerase I"", ""start_span"": 70, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Protein""}]"	train
To study the role of the sumoylation of TOP1, we mutated sites on green fluorescent protein ( GFP) - TOP1 corresponding to the consensus sequence for protein sumoylation ( PsiKXE, where Psi is a hydrophobic residue) and assayed the mutants for basal and camptothecin - induced sumoylation.	TOP1,40,44,Protein	green fluorescent protein,66,91,Protein	GFP,94,97,Protein	TOP1,101,105,Protein	"[{""token"": ""TOP1"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""green fluorescent protein"", ""start_span"": 66, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}]"	train
