Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Here we found multiple activities that cleave the SUMO - 1 moiety from two model substrates, ( 125) I - SUMO - 1 - alphaNH - HSTVGSMHISPPEPESEEEEEHYC and / or GST - SUMO - 1 - ( 35) S - RanGAP1 conjugate, in bovine brain extracts.	SUMO - 1,50,58,Protein	SUMO - 1,104,112,Protein	GST,159,162,Protein	SUMO - 1,165,173,Protein	RanGAP1,186,193,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 50, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 104, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""GST"", ""start_span"": 159, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 165, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""RanGAP1"", ""start_span"": 186, ""end_span"": 193, ""type"": ""Protein""}]"	train
The enzyme had the ability to cleave SUMO - 1 not only from its precursor but also from a SUMO - 1 - ligated RanGAP1 but did not exhibit any significant cleavage of the ubiquitin - and NEDD8 - precursor.	SUMO - 1,37,45,Protein	SUMO - 1,90,98,Protein	RanGAP1,109,116,Protein	ubiquitin,169,178,Protein	NEDD8,185,190,Protein	"[{""token"": ""SUMO - 1"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 90, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""RanGAP1"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 169, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Protein""}]"	train
We demonstrate here that H - ras61L - induced activation of the Raf / MEK / MAPK pathway, including recruitment of Raf to the plasma membrane and activation of Raf and MAPK, does not require C - terminal processing of H - ras61L.	H - ras61L,25,35,Protein	Raf,64,67,Protein	Raf,115,118,Protein	Raf,160,163,Protein	H - ras61L,218,228,Protein	"[{""token"": ""H - ras61L"", ""start_span"": 25, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""Raf"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""Raf"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""Raf"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""H - ras61L"", ""start_span"": 218, ""end_span"": 228, ""type"": ""Protein""}]"	train
Compared with the previously reported csn5 antisense and csn1 null mutants, partial deficiency of CSN1 causes a reduction in the level of CUL1 in the mutant flowers without an obvious defect in CUL1 deneddylation.	csn5,38,42,Protein	csn1,57,61,Protein	CSN1,98,102,Protein	CUL1,138,142,Protein	CUL1,194,198,Protein	"[{""token"": ""csn5"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""csn1"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""CSN1"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""CUL1"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""CUL1"", ""start_span"": 194, ""end_span"": 198, ""type"": ""Protein""}]"	train
CSN is a regulator of SCF ( Skp1 - cullin - F - box protein) ubiquitin ligases, mostly through the enzymatic activity that deconjugates the ubiquitin - like protein Nedd8 from the SCF Cul1 component.	Skp1,28,32,Protein	ubiquitin,61,70,Protein	ubiquitin,140,149,Protein	Nedd8,165,170,Protein	Cul1,184,188,Protein	"[{""token"": ""Skp1"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 61, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 140, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""Nedd8"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""Cul1"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}]"	train
pVHL has been shown to play a role in the destruction of hypoxia - inducible factor alpha ( HIF - alpha) subunits via ubiquitin - mediated proteolysis and in the regulation of fibronectin matrix assembly.	pVHL,0,4,Protein	hypoxia - inducible factor alpha,57,89,Protein	HIF - alpha,92,103,Protein	ubiquitin,118,127,Protein	fibronectin,176,187,Protein	"[{""token"": ""pVHL"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""hypoxia - inducible factor alpha"", ""start_span"": 57, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""HIF - alpha"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 118, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""fibronectin"", ""start_span"": 176, ""end_span"": 187, ""type"": ""Protein""}]"	train
VEGF stimulation results in the release of VEGFR2 from caveolae / lipid rafts and caveolin - 1 without affecting localization of ARF6, Rac1, or caveolin - 1 in these fractions.	VEGFR2,43,49,Protein	caveolin - 1,82,94,Protein	ARF6,129,133,Protein	Rac1,135,139,Protein	caveolin - 1,144,156,Protein	"[{""token"": ""VEGFR2"", ""start_span"": 43, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""caveolin - 1"", ""start_span"": 82, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""ARF6"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""Rac1"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""caveolin - 1"", ""start_span"": 144, ""end_span"": 156, ""type"": ""Protein""}]"	train
Smad - interacting protein 1 ( SIP1) can induce EMT by repressing the transcription of E - cadherin through recruitment of the corepressor C - terminal - binding protein ( CtBP).	Smad - interacting protein 1,0,28,Protein	SIP1,31,35,Protein	E - cadherin,87,99,Protein	C - terminal - binding protein,139,169,Protein	CtBP,172,176,Protein	"[{""token"": ""Smad - interacting protein 1"", ""start_span"": 0, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""SIP1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""E - cadherin"", ""start_span"": 87, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""C - terminal - binding protein"", ""start_span"": 139, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""CtBP"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Protein""}]"	train
Similarly, p63 and p73 are subject to regulation by ubiquitin and ubiquitin - like modifications, and perturbations of these pathways in the regulation of the p53 family have been implicated in tumorigenesis and developmental abnormalities.	p63,11,14,Protein	p73,19,22,Protein	ubiquitin,52,61,Protein	ubiquitin,66,75,Protein	p53,159,162,Protein	"[{""token"": ""p63"", ""start_span"": 11, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""p73"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 52, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 66, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 159, ""end_span"": 162, ""type"": ""Protein""}]"	train
Moreover, live - cell images indicated that 14 - 3 - 3sigma can affect the location of MDM2 from the nucleus to the cytoplasm, and that MDM2 - mediated cytoplasmic localization of p53 can be reversed by the presence of 14 - 3 - 3sigma.	14 - 3 - 3sigma,44,59,Protein	MDM2,87,91,Protein	MDM2,136,140,Protein	p53,180,183,Protein	14 - 3 - 3sigma,219,234,Protein	"[{""token"": ""14 - 3 - 3sigma"", ""start_span"": 44, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""MDM2"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""MDM2"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 180, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""14 - 3 - 3sigma"", ""start_span"": 219, ""end_span"": 234, ""type"": ""Protein""}]"	train
