Cell - specific glycoforms of sialoadhesin and CD45 are counter - receptors for the cysteine - rich domain of the mannose receptor.	"sialoadhesin	30	42	Protein"	"CD45	47	51	Protein"	"[{""token"": ""sialoadhesin"", ""start_span"": 30, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""CD45"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}]"
CR - Fc bound selectively to Sn purified from spleen and lymph nodes and to two low molecular weight isoforms of CD45 in a sugar - dependent manner.	"Sn	29	31	Protein"	"CD45	113	117	Protein"	"[{""token"": ""Sn"", ""start_span"": 29, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""CD45"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}]"
Akr1p and the type I casein kinases act prior to the ubiquitination step of yeast endocytosis: Akr1p is required for kinase localization to the plasma membrane.	"Akr1p	0	5	Protein"	"Akr1p	95	100	Protein"	"[{""token"": ""Akr1p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Akr1p"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Protein""}]"
Ubiquitination of the plasma membrane - localized yeast a - factor receptor ( Ste3p) triggers a rapid, ligand - independent endocytosis leading to its vacuolar degradation.	"a - factor receptor	56	75	Protein"	"Ste3p	78	83	Protein"	"[{""token"": ""a - factor receptor"", ""start_span"": 56, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""Ste3p"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Protein""}]"
Yck1p - Yck2p may be the function responsible in phosphorylation of the PEST - like ubiquitination - endocytosis signal.	"Yck1p	0	5	Protein"	"Yck2p	8	13	Protein"	"[{""token"": ""Yck1p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Yck2p"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Protein""}]"
The Drosophila UBC9 homologue lesswright mediates the disjunction of homologues in meiosis I.	"UBC9	15	19	Protein"	"lesswright	30	40	Protein"	"[{""token"": ""UBC9"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""lesswright"", ""start_span"": 30, ""end_span"": 40, ""type"": ""Protein""}]"
The product was capable of post - translational modification by the lipoate protein ligase but not aberrant modification by the biotin protein ligase of E. coli.	"lipoate protein ligase	68	90	Protein"	"biotin protein ligase	128	149	Protein"	"[{""token"": ""lipoate protein ligase"", ""start_span"": 68, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""biotin protein ligase"", ""start_span"": 128, ""end_span"": 149, ""type"": ""Protein""}]"
PARP - 1 modifies the effectiveness of p53 - mediated DNA damage response.	"PARP - 1	0	8	Protein"	"p53	39	42	Protein"	"[{""token"": ""PARP - 1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Protein""}]"
p53 is stabilized and activated after DNA damage, however the cascade of events signalling from DNA lesions to p53 stabilization and activation is still controversial.	"p53	0	3	Protein"	"p53	111	114	Protein"	"[{""token"": ""p53"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Protein""}]"
We present here evidences that interplay between PARP - 1 and p53 is dependent on the type of damage induced to DNA.	"PARP - 1	49	57	Protein"	"p53	62	65	Protein"	"[{""token"": ""PARP - 1"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Protein""}]"
