The biotin carboxyl carrier protein ( BCCP) is a subunit of acetyl - CoA carboxylase, a biotin - dependent enzyme that catalyzes the first committed step of fatty acid biosynthesis.	"biotin carboxyl carrier protein	4	35	Protein"	"BCCP	38	42	Protein"	"[{""token"": ""biotin carboxyl carrier protein"", ""start_span"": 4, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""BCCP"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}]"
Holo - BCCP then interacts with the biotin carboxylase subunit of acetyl - CoA carboxylase, which leads to the addition of the carboxylate group of bicarbonate to biotin.	"BCCP	7	11	Protein"	"biotin carboxylase subunit of acetyl - CoA carboxylase	36	90	Protein"	"[{""token"": ""BCCP"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""biotin carboxylase subunit of acetyl - CoA carboxylase"", ""start_span"": 36, ""end_span"": 90, ""type"": ""Protein""}]"
Finally, the carboxy - biotinylated form of BCCP interacts with transcarboxylase in the transfer of the carboxylate to acetyl - CoA to form malonyl - CoA.	"BCCP	44	48	Protein"	"transcarboxylase	64	80	Protein"	"[{""token"": ""BCCP"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""transcarboxylase"", ""start_span"": 64, ""end_span"": 80, ""type"": ""Protein""}]"
A fourth subject with type V hyperlipidemia exhibited an elevated apoC - III level and a suppressed level of the newly discovered truncated apoC - I isoform.	"apoC - III	66	76	Protein"	"apoC - I	140	148	Protein"	"[{""token"": ""apoC - III"", ""start_span"": 66, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""apoC - I"", ""start_span"": 140, ""end_span"": 148, ""type"": ""Protein""}]"
A new 30 - kDa ubiquitin - related SUMO - 1 hydrolase from bovine brain.	"ubiquitin	15	24	Protein"	"SUMO - 1	35	43	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""SUMO - 1"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}]"
SUMO - 1 is a ubiquitin - like protein functioning as an important reversible protein modifier.	"SUMO - 1	0	8	Protein"	"ubiquitin	14	23	Protein"	"[{""token"": ""SUMO - 1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Protein""}]"
The activity of SUMO - 1 hydrolase was almost completely inhibited by N - ethylmaleimide, but not by phenylmethanesulfonyl fluoride, EDTA, and ubiquitin - aldehyde known as a potent inhibitor of deubiquitinylating enzymes.	"SUMO - 1	16	24	Protein"	"ubiquitin	143	152	Protein"	"[{""token"": ""SUMO - 1"", ""start_span"": 16, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 143, ""end_span"": 152, ""type"": ""Protein""}]"
The Rab4 isoform has been implicated in insulin action.	"Rab4	4	8	Protein"	"insulin	40	47	Protein"	"[{""token"": ""Rab4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Protein""}]"
Other steps affected by Rab4 in the cascade of events resulting from insulin receptor activation have not been elucidated.	"Rab4	24	28	Protein"	"insulin receptor	69	85	Protein"	"[{""token"": ""Rab4"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""insulin receptor"", ""start_span"": 69, ""end_span"": 85, ""type"": ""Protein""}]"
Our results support models of insulin signaling in which regulation of internal membrane trafficking plays a role in transduction of the insulin signal.	"insulin	30	37	Protein"	"insulin	137	144	Protein"	"[{""token"": ""insulin"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""insulin"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Protein""}]"
Deletion of the loop ( four residues) rendered the domain incapable of reductive acetylation by E. coli E1p in the presence of pyruvate, but insertion of a new loop ( six residues) corresponding to that in the E2o lipoyl domain partly restored this ability, albeit with a much lower rate.	"E1p	104	107	Protein"	"E2o	210	213	Protein"	"[{""token"": ""E1p"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""E2o"", ""start_span"": 210, ""end_span"": 213, ""type"": ""Protein""}]"
Identification of a novel isopeptidase with dual specificity for ubiquitin - and NEDD8 - conjugated proteins.	"ubiquitin	65	74	Protein"	"NEDD8	81	86	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 65, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Protein""}]"
Covalent conjugation of proteins by ubiquitin or ubiquitin - like molecules is an important form of post - translational modification and plays a critical role in many cellular processes.	"ubiquitin	36	45	Protein"	"ubiquitin	49	58	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 36, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Protein""}]"
The human USP21 gene is located on chromosome 1q21 and encodes a member of the ubiquitin - specific protease family with highly conserved Cys and His domains.	"USP21	10	15	Protein"	"ubiquitin	79	88	Protein"	"[{""token"": ""USP21"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 79, ""end_span"": 88, ""type"": ""Protein""}]"
We showed that USP21 is capable of removing ubiquitin from ubiquitinated proteins as expected.	"USP21	15	20	Protein"	"ubiquitin	44	53	Protein"	"[{""token"": ""USP21"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 44, ""end_span"": 53, ""type"": ""Protein""}]"
Activation of H - ras61L - specific signaling pathways does not require posttranslational processing of H - ras.	"H - ras61L	14	24	Protein"	"H - ras	104	111	Protein"	"[{""token"": ""H - ras61L"", ""start_span"": 14, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""H - ras"", ""start_span"": 104, ""end_span"": 111, ""type"": ""Protein""}]"
Finally, downstream events, such as the induction of the immediate - early gene c - fos or neurite outgrowth in PC12 cells, are stimulated by the expression of plasma membrane - anchored, nonlipidated H - ras6lL.	"c - fos	80	87	Protein"	"H - ras6lL	201	211	Protein"	"[{""token"": ""c - fos"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""H - ras6lL"", ""start_span"": 201, ""end_span"": 211, ""type"": ""Protein""}]"
These results demonstrate that H - ras can be functionally targeted to the plasma membrane using a transmembrane domain sequence and that several signal transduction pathways downstream of H - ras can be activated without the presence of normal lipid modifications.	"H - ras	31	38	Protein"	"H - ras	189	196	Protein"	"[{""token"": ""H - ras"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""H - ras"", ""start_span"": 189, ""end_span"": 196, ""type"": ""Protein""}]"
Escherichia coli alpha - hemolysin ( HlyA) is heterogeneously acylated in vivo with 14 -, 15 -, and 17 - carbon fatty acids.	"alpha - hemolysin	17	34	Protein"	"HlyA	37	41	Protein"	"[{""token"": ""alpha - hemolysin"", ""start_span"": 17, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""HlyA"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}]"
alpha - Hemolysin ( HlyA) is a secreted protein virulence factor observed in certain uropathogenic strains of Escherichia coli.	"alpha - Hemolysin	0	17	Protein"	"HlyA	20	24	Protein"	"[{""token"": ""alpha - Hemolysin"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""HlyA"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}]"
The active, mature form of HlyA is produced by posttranslational modification of the protoxin that is mediated by acyl carrier protein and an acyltransferase, HlyC.	"HlyA	27	31	Protein"	"HlyC	159	163	Protein"	"[{""token"": ""HlyA"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""HlyC"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}]"
Furthermore, immunoblot analyses of epimastigote protein with anti - S - farnesylcysteine methyl ester and anti - TcRho1 antisera strongly suggested that TcRho1 is farnesylated in vivo.	"TcRho1	114	120	Protein"	"TcRho1	154	160	Protein"	"[{""token"": ""TcRho1"", ""start_span"": 114, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""TcRho1"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Protein""}]"
Proteolipid protein ( PLP) is the most abundant protein of CNS myelin, and is posttranslationally acylated by covalent attachment of long chain fatty acids to cysteine residues via a thioester linkage.	"Proteolipid protein	0	19	Protein"	"PLP	22	25	Protein"	"[{""token"": ""Proteolipid protein"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""PLP"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Protein""}]"
Although its precise role in the process of protein degradation remains to be established, the COP9 signalosome is a positive regulator of E3 ubiquitin ligases that functions at least in part by mediating the deconjugation of the NEDD8 / RUB - modification from the cullin subunit of SCF - type E3 complexes.	"ubiquitin	142	151	Protein"	"NEDD8	230	235	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 142, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 230, ""end_span"": 235, ""type"": ""Protein""}]"
Acute and chronic treatments of mice with the glutathione - depleting agent, L - buthionine - ( SR) - sulfoximine ( BSO), impaired the mineralocorticoid receptor ( MR) - dependent biological response by inhibiting aldosterone binding.	"mineralocorticoid receptor	135	161	Protein"	"MR	164	166	Protein"	"[{""token"": ""mineralocorticoid receptor"", ""start_span"": 135, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""MR"", ""start_span"": 164, ""end_span"": 166, ""type"": ""Protein""}]"
Thus, a high polyribosomes / monomers ratio and both increased proteolysis and decreased ADP - ribosylatable concentration of elongation factor 2 ( EF - 2) were shown.	"elongation factor 2	126	145	Protein"	"EF - 2	148	154	Protein"	"[{""token"": ""elongation factor 2"", ""start_span"": 126, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""EF - 2"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Protein""}]"
Notwithstanding the EF - 2 functional disruption, not all renal proteins were equally affected as the MR.	"EF - 2	20	26	Protein"	"MR	102	104	Protein"	"[{""token"": ""EF - 2"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""MR"", ""start_span"": 102, ""end_span"": 104, ""type"": ""Protein""}]"
Interestingly, both EF - 2 and MR expressed in old mice were similarly affected as in L - buthionine - ( SR) - sulfoximine - treated young mice.	"EF - 2	20	26	Protein"	"MR	31	33	Protein"	"[{""token"": ""EF - 2"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""MR"", ""start_span"": 31, ""end_span"": 33, ""type"": ""Protein""}]"
A triple mutant having the PsiKXE sequences flanking K117R additionally mutated ( K103R / K117R / K153R) showed little if any sumoylation, but was degraded like wild - type GFP - TOP1 during camptothecin treatment.	"GFP	173	176	Protein"	"TOP1	179	183	Protein"	"[{""token"": ""GFP"", ""start_span"": 173, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Protein""}]"
However, K103R / K117R / K153R - GFP - TOP1 was markedly concentrated within nucleoli, depleted from the remainder of nucleus, and failed to be cleared from nucleoli in response to camptothecin treatment.	"GFP	33	36	Protein"	"TOP1	39	43	Protein"	"[{""token"": ""GFP"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""TOP1"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}]"
For biglycan and decorin, iduronate content was linearly correlated with age ( increased 1. 5x between fetal and age 60 years).	"biglycan	4	12	Protein"	"decorin	17	24	Protein"	"[{""token"": ""biglycan"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""decorin"", ""start_span"": 17, ""end_span"": 24, ""type"": ""Protein""}]"
A growth matrix rich in thrombospondin altered PG metabolism in osteoblastic cells, resulting in the production and secretion of the fetal - like ( rich in O - linked oligosaccharides) forms of decorin and biglycan.	"decorin	194	201	Protein"	"biglycan	206	214	Protein"	"[{""token"": ""decorin"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""biglycan"", ""start_span"": 206, ""end_span"": 214, ""type"": ""Protein""}]"
The ABSCISIC ACID INSENSITIVE 3 ( ABI3) gene is modulated by farnesylation and is involved in auxin signaling and lateral root development in Arabidopsis.	"ABSCISIC ACID INSENSITIVE 3	4	31	Protein"	"ABI3	34	38	Protein"	"[{""token"": ""ABSCISIC ACID INSENSITIVE 3"", ""start_span"": 4, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""ABI3"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}]"
Related to this, loss - of - function abi3 alleles show reduced lateral root responsiveness in the presence of auxin and an auxin transport inhibitor, and era1 mutants have increased numbers of lateral roots.	"abi3	38	42	Protein"	"era1	155	159	Protein"	"[{""token"": ""abi3"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""era1"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}]"
These results suggest the possibility that genes identified through ABA responsive germination screens such as ERA1 and ABI3 have functions in auxin action in Arabidopsis.	"ERA1	111	115	Protein"	"ABI3	120	124	Protein"	"[{""token"": ""ERA1"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""ABI3"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}]"
Genetic interaction analysis indicates that CSN is necessary for the gain - of - function activity of the F - box protein UFO in AP3 activation and in floral organ transformation.	"UFO	122	125	Protein"	"AP3	129	132	Protein"	"[{""token"": ""UFO"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""AP3"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Protein""}]"
We conclude that CSN is an essential regulator of Arabidopsis flower development and suggest that CSN regulates Arabidopsis flower development in part by modulating SCF ( UFO) - mediated AP3 activation.	"UFO	171	174	Protein"	"AP3	187	190	Protein"	"[{""token"": ""UFO"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""AP3"", ""start_span"": 187, ""end_span"": 190, ""type"": ""Protein""}]"
A comparative kinetic study on the singlet molecular oxygen - mediated photoxidation of alpha - and beta - chymotrypsins.	"alpha -	88	95	Protein"	"beta - chymotrypsins	100	120	Protein"	"[{""token"": ""alpha -"", ""start_span"": 88, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""beta - chymotrypsins"", ""start_span"": 100, ""end_span"": 120, ""type"": ""Protein""}]"
Kinetic aspects of the sensitized photooxidation of alpha - and beta - chymotrypsins have been studied at pH 6 and 8.	"alpha -	52	59	Protein"	"beta - chymotrypsins	64	84	Protein"	"[{""token"": ""alpha -"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""beta - chymotrypsins"", ""start_span"": 64, ""end_span"": 84, ""type"": ""Protein""}]"
Overall and reactive rate constants for the O2 ( 1Deltag) - quenching ( in the order of 108 and 107 / M / s, respectively), and rates of oxygen consumption determined by time - resolved, spectroscopic and polarographic methods indicate that alpha - and beta - chymotrypsins are less photooxidizable at pH 6, as a result of an enhancement of the O2 ( 1Deltag) - physical quenching component.	"alpha -	241	248	Protein"	"beta - chymotrypsins	253	273	Protein"	"[{""token"": ""alpha -"", ""start_span"": 241, ""end_span"": 248, ""type"": ""Protein""}, {""token"": ""beta - chymotrypsins"", ""start_span"": 253, ""end_span"": 273, ""type"": ""Protein""}]"
In general terms, beta - chymotrypsin exhibits the greater overall proclivity to interact with O2 ( 1Deltag), whereas structural factors, possibly evidenced by a higher exposure of the reactive tryptophan residues, impart an increased photooxidation degree to the proteins at pH 8, specially to the alpha - chymotrypsin.	"beta - chymotrypsin	18	37	Protein"	"alpha - chymotrypsin	299	319	Protein"	"[{""token"": ""beta - chymotrypsin"", ""start_span"": 18, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""alpha - chymotrypsin"", ""start_span"": 299, ""end_span"": 319, ""type"": ""Protein""}]"
Analysis of the amino acid sequence revealed the presence of two heme binding motifs ( CXXCH) and a approximately 20 amino acids long sequence that is conserved in the Paracoccus denitrificans and Pseudomonas aeruginosa diheme cytochrome c peroxidases ( CCPs).	"cytochrome c peroxidases	227	251	Protein"	"CCPs	254	258	Protein"	"[{""token"": ""cytochrome c peroxidases"", ""start_span"": 227, ""end_span"": 251, ""type"": ""Protein""}, {""token"": ""CCPs"", ""start_span"": 254, ""end_span"": 258, ""type"": ""Protein""}]"
Using chimeric Ras proteins containing all combinations of Ras background, CAAX motif, and K - Ras polybasic domain, we show that either a polybasic domain or an alternatively prenylated CAAX renders Ras prenylation, Ras - induced Elk - 1 activation, and anchorage - independent cell growth FTI - resistant.	"K - Ras	91	98	Protein"	"Elk - 1	231	238	Protein"	"[{""token"": ""K - Ras"", ""start_span"": 91, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""Elk - 1"", ""start_span"": 231, ""end_span"": 238, ""type"": ""Protein""}]"
Disruption of the COP9 signalosome Csn2 subunit in mice causes deficient cell proliferation, accumulation of p53 and cyclin E, and early embryonic death.	"Csn2	35	39	Protein"	"p53	109	112	Protein"	"[{""token"": ""Csn2"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Protein""}]"
In addition, CSN associates with protein kinase activities targeting p53, c - Jun, and IkappaB for phosphorylation.	"p53	69	72	Protein"	"c - Jun	74	81	Protein"	"[{""token"": ""p53"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Protein""}]"
Csn2 ( - / -) blastocysts failed to outgrow in culture and exhibited a cell proliferation defect in inner cell mass, accompanied by a slight decrease in Oct4.	"Csn2	0	4	Protein"	"Oct4	153	157	Protein"	"[{""token"": ""Csn2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""Oct4"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}]"
In addition, lack of Csn2 disrupted the CSN complex and resulted in a drastic increase in cyclin E, supporting a role for CSN in cooperating with the SCF - ubiquitin - proteasome system to regulate protein turnover.	"Csn2	21	25	Protein"	"ubiquitin	156	165	Protein"	"[{""token"": ""Csn2"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 156, ""end_span"": 165, ""type"": ""Protein""}]"
In all eukaryotes tested, the COP9 signalosome is able to posttranslationally modify the cullin subunit of E3 - ubiquitin - ligase complexes by cleaving off the covalently coupled peptide, Nedd8.	"ubiquitin	112	121	Protein"	"Nedd8	189	194	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 112, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""Nedd8"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Protein""}]"
Using the two - hybrid system, we isolated novel genes from the Schizosaccharomyces pombe cDNA library whose products bind to Uba3, which is a catalytic protein for E1 - like activity of the NEDD8 pathway.	"Uba3	126	130	Protein"	"NEDD8	191	196	Protein"	"[{""token"": ""Uba3"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 191, ""end_span"": 196, ""type"": ""Protein""}]"
But1 is a nuclear protein and its overexpression caused cell elongation, which is a common phenotype of the NEDD8 pathway defective mutant in S. pombe.	"But1	0	4	Protein"	"NEDD8	108	113	Protein"	"[{""token"": ""But1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 108, ""end_span"": 113, ""type"": ""Protein""}]"
Furthermore, overexpression of but1 ( +) in ned8 - temperature sensitive mutant had a deleterious effect even under permissive temperatures.	"but1	31	35	Protein"	"ned8	44	48	Protein"	"[{""token"": ""but1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""ned8"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}]"
Our results suggest that But1 may have an inhibitory role in the NEDD8 pathway.	"But1	25	29	Protein"	"NEDD8	65	70	Protein"	"[{""token"": ""But1"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""NEDD8"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Protein""}]"
PIASy - mediated repression of the androgen receptor is independent of sumoylation.	"PIASy	0	5	Protein"	"androgen receptor	35	52	Protein"	"[{""token"": ""PIASy"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""androgen receptor"", ""start_span"": 35, ""end_span"": 52, ""type"": ""Protein""}]"
In this report, we investigate the mechanism of PIASy - mediated repression of AR.	"PIASy	48	53	Protein"	"AR	79	81	Protein"	"[{""token"": ""PIASy"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""AR"", ""start_span"": 79, ""end_span"": 81, ""type"": ""Protein""}]"
We show that AR binds to the RING - finger like domain of PIASy.	"AR	13	15	Protein"	"PIASy	58	63	Protein"	"[{""token"": ""AR"", ""start_span"": 13, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""PIASy"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Protein""}]"
RD1, but not RD2, is required for PIASy - mediated repression of AR.	"PIASy	34	39	Protein"	"AR	65	67	Protein"	"[{""token"": ""PIASy"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""AR"", ""start_span"": 65, ""end_span"": 67, ""type"": ""Protein""}]"
We show that a mutant PIASy, defective in promoting sumoylation, retains the ability to repress AR transcription.	"PIASy	22	27	Protein"	"AR	96	98	Protein"	"[{""token"": ""PIASy"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""AR"", ""start_span"": 96, ""end_span"": 98, ""type"": ""Protein""}]"
