Sentence	entity_1	entity_2	entity_3	json	split
Activation of the CD28 surface receptor provides a major costimulatory signal for T cell activation resulting in enhanced production of interleukin - 2 ( IL - 2) and cell proliferation.	CD28 surface receptor,18,39,Gene/Protein	interleukin - 2,136,151,Gene/Protein	IL - 2,154,160,Gene/Protein	"[{""token"": ""CD28 surface receptor"", ""start_span"": 18, ""end_span"": 39, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 2"", ""start_span"": 136, ""end_span"": 151, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Gene/Protein""}]"	train
The inability of E1A gene products to induce cytolytic susceptibility during infection was not explained by an inhibitory effect of viral infection on otherwise susceptible target cells or by viral gene effects on class I MHC antigen expression on target cells.	E1A gene,17,25,Gene/Protein	viral gene,192,202,Gene/Protein	class I MHC antigen,214,233,Gene/Protein	"[{""token"": ""E1A gene"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""viral gene"", ""start_span"": 192, ""end_span"": 202, ""type"": ""Gene/Protein""}, {""token"": ""class I MHC antigen"", ""start_span"": 214, ""end_span"": 233, ""type"": ""Gene/Protein""}]"	train
The CD4 coreceptor interacts with non - polymorphic regions of major histocompatibility complex class II molecules on antigen - presenting cells and contributes to T cell activation.	CD4 coreceptor,4,18,Gene/Protein	non - polymorphic regions,34,59,Gene/Protein	major histocompatibility complex class II molecules,63,114,Gene/Protein	"[{""token"": ""CD4 coreceptor"", ""start_span"": 4, ""end_span"": 18, ""type"": ""Gene/Protein""}, {""token"": ""non - polymorphic regions"", ""start_span"": 34, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""major histocompatibility complex class II molecules"", ""start_span"": 63, ""end_span"": 114, ""type"": ""Gene/Protein""}]"	train
We demonstrate that CD4 triggering delivers signals capable of activating the NF - AT transcription factor which is required for interleukin - 2 gene expression.	CD4,20,23,Gene/Protein	NF - AT transcription factor,78,106,Gene/Protein	interleukin - 2,129,144,Gene/Protein	"[{""token"": ""CD4"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Gene/Protein""}, {""token"": ""NF - AT transcription factor"", ""start_span"": 78, ""end_span"": 106, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 2"", ""start_span"": 129, ""end_span"": 144, ""type"": ""Gene/Protein""}]"	train
The results identify functionally distinct epitopes on the CD4 coreceptor involved in activation of the Ras / protein kinase C and calcium pathways.	epitopes,43,51,Gene/Protein	CD4 coreceptor,59,73,Gene/Protein	Ras / protein kinase C,104,126,Gene/Protein	"[{""token"": ""epitopes"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Gene/Protein""}, {""token"": ""CD4 coreceptor"", ""start_span"": 59, ""end_span"": 73, ""type"": ""Gene/Protein""}, {""token"": ""Ras / protein kinase C"", ""start_span"": 104, ""end_span"": 126, ""type"": ""Gene/Protein""}]"	train
Ligand - dependent repression of the erythroid transcription factor GATA - 1 by the estrogen receptor.	erythroid transcription factor,37,67,Gene/Protein	GATA - 1,68,76,Gene/Protein	estrogen receptor,84,101,Gene/Protein	"[{""token"": ""erythroid transcription factor"", ""start_span"": 37, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""GATA - 1"", ""start_span"": 68, ""end_span"": 76, ""type"": ""Gene/Protein""}, {""token"": ""estrogen receptor"", ""start_span"": 84, ""end_span"": 101, ""type"": ""Gene/Protein""}]"	train
We demonstrate that the transcriptional activity of GATA - 1 is strongly repressed by the estrogen receptor ( ER) in a ligand - dependent manner and that this repression is reversible in the presence of 4 - hydroxytamoxifen.	GATA - 1,52,60,Gene/Protein	estrogen receptor,90,107,Gene/Protein	ER,110,112,Gene/Protein	"[{""token"": ""GATA - 1"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Gene/Protein""}, {""token"": ""estrogen receptor"", ""start_span"": 90, ""end_span"": 107, ""type"": ""Gene/Protein""}, {""token"": ""ER"", ""start_span"": 110, ""end_span"": 112, ""type"": ""Gene/Protein""}]"	train
Interleukin - 1 and interleukin - 2 control transcription via distinct cis - acting elements.	Interleukin - 1,0,15,Gene/Protein	interleukin - 2,20,35,Gene/Protein	cis - acting elements,71,92,Gene/Protein	"[{""token"": ""Interleukin - 1"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene/Protein""}, {""token"": ""interleukin - 2"", ""start_span"": 20, ""end_span"": 35, ""type"": ""Gene/Protein""}, {""token"": ""cis - acting elements"", ""start_span"": 71, ""end_span"": 92, ""type"": ""Gene/Protein""}]"	train
We have shown that interleukin - 1 ( IL - 1) and IL - 2 control IL - 2 receptor alpha ( IL - 2R alpha) gene transcription in CD4 - CD8 - murine T lymphocyte precursors.	interleukin - 1,19,34,Gene/Protein	IL - 1,37,43,Gene/Protein	IL - 2,49,55,Gene/Protein	"[{""token"": ""interleukin - 1"", ""start_span"": 19, ""end_span"": 34, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Gene/Protein""}]"	train
IL - 1 induces a rapid, protein synthesis - independent appearance of IL - 2R alpha mRNA that is blocked by inhibitors of NF - kappa B activation.	IL - 1,0,6,Gene/Protein	IL - 2R alpha mRNA,70,88,Gene/Protein	NF - kappa B,122,134,Gene/Protein	"[{""token"": ""IL - 1"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2R alpha mRNA"", ""start_span"": 70, ""end_span"": 88, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 122, ""end_span"": 134, ""type"": ""Gene/Protein""}]"	train
