Sentence	entity_1	json	split
Before processing them, we used PEAR64 to merge all the Illumina pair - end reads retrieved.	pair - end,65,75,Library_construction_method	"[{""token"": ""pair - end"", ""start_span"": 65, ""end_span"": 75, ""type"": ""Library_construction_method""}]"	test
The MALASPINA datasets are from the 0. 2 to 0. 8m fraction and were sequenced using HiSeq2000 ( paired end reads of length 150bp).	paired end,96,106,Library_construction_method	"[{""token"": ""paired end"", ""start_span"": 96, ""end_span"": 106, ""type"": ""Library_construction_method""}]"	test
Specifically, after fragmentation, paired end fragment library in length of170bp was constructed.	paired end,35,45,Library_construction_method	"[{""token"": ""paired end"", ""start_span"": 35, ""end_span"": 45, ""type"": ""Library_construction_method""}]"	test
Paired - end sequencing with a 100 cycle Illumina HiSeq run generated partial ~ 30 bp overlaps, and six libraries were multiplexed per lane.	Paired - end,0,12,Library_construction_method	"[{""token"": ""Paired - end"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Library_construction_method""}]"	test
The overlapping paired - end reads were stitched together ( approximately 97bp overlap), and size selected to reduce non - specific amplification products from host DNA ( 225275bp).	paired - end,16,28,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 16, ""end_span"": 28, ""type"": ""Library_construction_method""}]"	test
Adaptor - appended fragments were sequenced on Illumina MiSeq desktop sequencer ( 2300bp paired - end run, San Diego, CA) according to standard protocols.	paired - end,89,101,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 89, ""end_span"": 101, ""type"": ""Library_construction_method""}]"	test
The samples ( 27 pooled and 4 individual replicates) were next individually barcoded and sequenced using the Illumina MiSeq platform via the MiSeq Reagent Kit v2 ( 500 cycle), producing paired - end reads each 250 nucleotides in length.	paired - end,186,198,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 186, ""end_span"": 198, ""type"": ""Library_construction_method""}]"	test
Amplicons were then pooled at equal concentrations after the individual quantification step, and sequencing of pair - end 2 300 bp was performed using the Illlumina MiSeq platform with the MiSeq Reagent Kit v3 ( Shanghai Personal Biotechnology Co., Ltd, Shanghai, China).	pair - end,111,121,Library_construction_method	"[{""token"": ""pair - end"", ""start_span"": 111, ""end_span"": 121, ""type"": ""Library_construction_method""}]"	train
All paired - end sequences were merged by FLASH ( Mago and Salzberg, 2011), and all merged sequences were further analyzed by conducting the Quantitative Insights Into Microbial Ecology ( QIIME) pipeline ( Caporaso et al., 2010b).	paired - end,4,16,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 4, ""end_span"": 16, ""type"": ""Library_construction_method""}]"	train
Library quality was examined using an Agilent 2100 bioanalyzer ( Agilent Technologies) and paired - end 150 - bp reads with a 550bp insert size were sequenced by Hokkaido System Science Co., Ltd ( Hokkaido, Japan).	paired - end,91,103,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 91, ""end_span"": 103, ""type"": ""Library_construction_method""}]"	train
The fragments were blunt - ended, an A - tail was added, and the reaction products were ligated to Illumina paired - end sequencing adapters containing sample - specific 8 bp barcodes.	paired - end,108,120,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Library_construction_method""}]"	train
Assembly and binning of metagenomes For the five metagenomes representing each mm of mat, Illumina HiSeq GSIIx paired - end sequencing was performed by the DOE Joint Genome Institute.	paired - end,111,123,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 111, ""end_span"": 123, ""type"": ""Library_construction_method""}]"	train
The libraries were quantified using a KAPA universal complete kit ( Roche), pooled to equal concentration with 4 to 10 samples per lane, and sequenced on an Illumina MiSeq or HiSeq using paired - end 101 - bp reads.	paired - end,187,199,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 187, ""end_span"": 199, ""type"": ""Library_construction_method""}]"	train
It was quantified using a Kapa Biosystems qPCR library quantification kit, then sequenced on the Illumina HiSeq1000 in a 2101 paired - end sequencing run using dedicated read indexing.	paired - end,126,138,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 126, ""end_span"": 138, ""type"": ""Library_construction_method""}]"	train
Following cluster formation on the MiSeq instrument, the amplicons were sequenced using primers complimentary to the V4 region and designed for paired - ends sequencing.	paired - ends,144,157,Library_construction_method	"[{""token"": ""paired - ends"", ""start_span"": 144, ""end_span"": 157, ""type"": ""Library_construction_method""}]"	train
The pooled library was sequenced on an Illumina MiSeq system using a 600 cycle MiSeq v3 Reagent Kit ( Illumina, United States), which produces two 300 - bp long paired - end reads.	paired - end,161,173,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 161, ""end_span"": 173, ""type"": ""Library_construction_method""}]"	train
To assess the representation of the SD rat gut microbiome in the non - redundant gene set, we aligned the ORFs against the SE100 reads from all 245 samples in 7 groups across the 5 collection TPs, using SOAPaligner2 with a 90% identity threshold.	SE100,123,128,Library_construction_method	"[{""token"": ""SE100"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Library_construction_method""}]"	train
The library was sequenced on the Illumina MiSeq using a paired - end 300 - bp protocol and v3 reagents by Macrogen Inc. ( Seoul, South Korea).	paired - end,56,68,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 56, ""end_span"": 68, ""type"": ""Library_construction_method""}]"	train
The Caspian and the Mediterranean metagenomes from all samples analyzed in this study are from the 0. 225. 0m fraction and were sequenced by HiSeq2000 ( paired end reads of length 100bp).	paired end,153,163,Library_construction_method	"[{""token"": ""paired end"", ""start_span"": 153, ""end_span"": 163, ""type"": ""Library_construction_method""}]"	train
DNA from the first sample was sequenced on the Illumina MiSeq platform ( Illumina, CA, USA) to generate 300bp paired - end reads ( 550bp mean insert size).	paired - end,110,122,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 110, ""end_span"": 122, ""type"": ""Library_construction_method""}]"	train
Initial bioinformatics preparation of paired - end reads was performed by LGC Genomics including de - multiplexing, removal of barcodes ( allowing 1 mismatch), adapter and primer sequences ( allowing 3 mismatches), and merging of forward and reverse reads using the BBMerge 34. 48 software1.	paired - end,38,50,Library_construction_method	"[{""token"": ""paired - end"", ""start_span"": 38, ""end_span"": 50, ""type"": ""Library_construction_method""}]"	train
