Sentence	entity_1	entity_2	json	split
A common MSH2 mutation in English and North American HNPCC families: origin, phenotypic expression, and sex specific differences in colorectal cancer.	HNPCC,53,58,Disease/Disorder	colorectal cancer,132,149,Disease/Disorder	"[{""token"": ""HNPCC"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Disease/Disorder""}, {""token"": ""colorectal cancer"", ""start_span"": 132, ""end_span"": 149, ""type"": ""Disease/Disorder""}]"	train
The frequency, origin, and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC) was investigated.	hereditary non - polyposis cancer syndrome,127,169,Disease/Disorder	HNPCC,172,177,Disease/Disorder	"[{""token"": ""hereditary non - polyposis cancer syndrome"", ""start_span"": 127, ""end_span"": 169, ""type"": ""Disease/Disorder""}, {""token"": ""HNPCC"", ""start_span"": 172, ""end_span"": 177, ""type"": ""Disease/Disorder""}]"	train
Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England, more extensive analysis has reduced the frequency to four of 52 ( 8%) English HNPCC kindreds analysed.	colorectal cancer,60,77,Disease/Disorder	HNPCC,196,201,Disease/Disorder	"[{""token"": ""colorectal cancer"", ""start_span"": 60, ""end_span"": 77, ""type"": ""Disease/Disorder""}, {""token"": ""HNPCC"", ""start_span"": 196, ""end_span"": 201, ""type"": ""Disease/Disorder""}]"	train
For both sexes combined, the penetrances at age 60 years for all cancers and for colorectal cancer were 0.	cancers,65,72,Disease/Disorder	colorectal cancer,81,98,Disease/Disorder	"[{""token"": ""cancers"", ""start_span"": 65, ""end_span"": 72, ""type"": ""Disease/Disorder""}, {""token"": ""colorectal cancer"", ""start_span"": 81, ""end_span"": 98, ""type"": ""Disease/Disorder""}]"	train
For females there was a high risk of endometrial cancer ( 0. 5 at age 60 years) and premenopausal ovarian cancer ( 0. 2 at 50 years).	endometrial cancer,37,55,Disease/Disorder	premenopausal ovarian cancer,84,112,Disease/Disorder	"[{""token"": ""endometrial cancer"", ""start_span"": 37, ""end_span"": 55, ""type"": ""Disease/Disorder""}, {""token"": ""premenopausal ovarian cancer"", ""start_span"": 84, ""end_span"": 112, ""type"": ""Disease/Disorder""}]"	train
These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers.	colorectal cancer,30,47,Disease/Disorder	colorectal cancer,126,143,Disease/Disorder	"[{""token"": ""colorectal cancer"", ""start_span"": 30, ""end_span"": 47, ""type"": ""Disease/Disorder""}, {""token"": ""colorectal cancer"", ""start_span"": 126, ""end_span"": 143, ""type"": ""Disease/Disorder""}]"	train
Apolipoprotein E ( APOE) genotype, in turn, is known to influence AO in Alzheimer disease, rendering the APOE gene a likely candidate to affect AO in other neurological diseases too.	Alzheimer disease,72,89,Disease/Disorder	neurological diseases,156,177,Disease/Disorder	"[{""token"": ""Alzheimer disease"", ""start_span"": 72, ""end_span"": 89, ""type"": ""Disease/Disorder""}, {""token"": ""neurological diseases"", ""start_span"": 156, ""end_span"": 177, ""type"": ""Disease/Disorder""}]"	train
We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length.	HD,74,76,Disease/Disorder	HD,90,92,Disease/Disorder	"[{""token"": ""HD"", ""start_span"": 74, ""end_span"": 76, ""type"": ""Disease/Disorder""}, {""token"": ""HD"", ""start_span"": 90, ""end_span"": 92, ""type"": ""Disease/Disorder""}]"	train
Our findings suggest that subtle differences in the course of the neurodegeneration in HD may allow interacting genes to exert gender specific effects upon AO.	neurodegeneration,66,83,Disease/Disorder	HD,87,89,Disease/Disorder	"[{""token"": ""neurodegeneration"", ""start_span"": 66, ""end_span"": 83, ""type"": ""Disease/Disorder""}, {""token"": ""HD"", ""start_span"": 87, ""end_span"": 89, ""type"": ""Disease/Disorder""}]"	train
Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria.	Familial deficiency of the seventh component of complement,0,58,Disease/Disorder	bacteremic infections due to Neisseria,85,123,Disease/Disorder	"[{""token"": ""Familial deficiency of the seventh component of complement"", ""start_span"": 0, ""end_span"": 58, ""type"": ""Disease/Disorder""}, {""token"": ""bacteremic infections due to Neisseria"", ""start_span"": 85, ""end_span"": 123, ""type"": ""Disease/Disorder""}]"	train
