Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	json	split
DDS is a rare childhood disease characterized by a nephropathy involving mesangial sclerosis, XY pseudohermaphroditism, and / or Wilms tumor ( WT).	DDS,0,3,Disease/Disorder	nephropathy,51,62,Disease/Disorder	mesangial sclerosis,73,92,Disease/Disorder	pseudohermaphroditism,97,118,Disease/Disorder	Wilms tumor,129,140,Disease/Disorder	WT,143,145,Disease/Disorder	"[{""token"": ""DDS"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Disease/Disorder""}, {""token"": ""nephropathy"", ""start_span"": 51, ""end_span"": 62, ""type"": ""Disease/Disorder""}, {""token"": ""mesangial sclerosis"", ""start_span"": 73, ""end_span"": 92, ""type"": ""Disease/Disorder""}, {""token"": ""pseudohermaphroditism"", ""start_span"": 97, ""end_span"": 118, ""type"": ""Disease/Disorder""}, {""token"": ""Wilms tumor"", ""start_span"": 129, ""end_span"": 140, ""type"": ""Disease/Disorder""}, {""token"": ""WT"", ""start_span"": 143, ""end_span"": 145, ""type"": ""Disease/Disorder""}]"	train
In comparison with the usual EDMD phenotype, patients with P183 missense mutations have a later age at onset of first symptoms, elbow contractures, ankle contractures, upper limb weakness and lower limb weakness, but there is no difference for the age at onset of cardiac involvement.	EDMD,29,33,Disease/Disorder	elbow contractures,128,146,Disease/Disorder	ankle contractures,148,166,Disease/Disorder	upper limb weakness,168,187,Disease/Disorder	lower limb weakness,192,211,Disease/Disorder	cardiac involvement,264,283,Disease/Disorder	"[{""token"": ""EDMD"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Disease/Disorder""}, {""token"": ""elbow contractures"", ""start_span"": 128, ""end_span"": 146, ""type"": ""Disease/Disorder""}, {""token"": ""ankle contractures"", ""start_span"": 148, ""end_span"": 166, ""type"": ""Disease/Disorder""}, {""token"": ""upper limb weakness"", ""start_span"": 168, ""end_span"": 187, ""type"": ""Disease/Disorder""}, {""token"": ""lower limb weakness"", ""start_span"": 192, ""end_span"": 211, ""type"": ""Disease/Disorder""}, {""token"": ""cardiac involvement"", ""start_span"": 264, ""end_span"": 283, ""type"": ""Disease/Disorder""}]"	train
Van der Woude syndrome ( VWS) is an autosomal dominant disorder comprising cleft lip and / or cleft palate and lip pits.	Van der Woude syndrome,0,22,Disease/Disorder	VWS,25,28,Disease/Disorder	autosomal dominant disorder,36,63,Disease/Disorder	cleft lip,75,84,Disease/Disorder	cleft palate,94,106,Disease/Disorder	lip pits,111,119,Disease/Disorder	"[{""token"": ""Van der Woude syndrome"", ""start_span"": 0, ""end_span"": 22, ""type"": ""Disease/Disorder""}, {""token"": ""VWS"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Disease/Disorder""}, {""token"": ""autosomal dominant disorder"", ""start_span"": 36, ""end_span"": 63, ""type"": ""Disease/Disorder""}, {""token"": ""cleft lip"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Disease/Disorder""}, {""token"": ""cleft palate"", ""start_span"": 94, ""end_span"": 106, ""type"": ""Disease/Disorder""}, {""token"": ""lip pits"", ""start_span"": 111, ""end_span"": 119, ""type"": ""Disease/Disorder""}]"	train
Three congenital anomaly disorders, cat - eye syndrome, der () syndrome and velo - cardio - facial syndrome / DiGeorge syndrome ( VCFS / DGS) are associated with tetrasomy, trisomy or monosomy, respectively, for part of chromosome 22q11.	congenital anomaly disorders,6,34,Disease/Disorder	cat - eye syndrome,36,54,Disease/Disorder	velo - cardio - facial syndrome,76,107,Disease/Disorder	DiGeorge syndrome,110,127,Disease/Disorder	VCFS,130,134,Disease/Disorder	DGS,137,140,Disease/Disorder	"[{""token"": ""congenital anomaly disorders"", ""start_span"": 6, ""end_span"": 34, ""type"": ""Disease/Disorder""}, {""token"": ""cat - eye syndrome"", ""start_span"": 36, ""end_span"": 54, ""type"": ""Disease/Disorder""}, {""token"": ""velo - cardio - facial syndrome"", ""start_span"": 76, ""end_span"": 107, ""type"": ""Disease/Disorder""}, {""token"": ""DiGeorge syndrome"", ""start_span"": 110, ""end_span"": 127, ""type"": ""Disease/Disorder""}, {""token"": ""VCFS"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Disease/Disorder""}, {""token"": ""DGS"", ""start_span"": 137, ""end_span"": 140, ""type"": ""Disease/Disorder""}]"	train
Kniest dysplasia is a moderately severe type II collagenopathy, characterized by short trunk and limbs, kyphoscoliosis, midface hypoplasia, severe myopia, and hearing loss.	Kniest dysplasia,0,16,Disease/Disorder	type II collagenopathy,40,62,Disease/Disorder	kyphoscoliosis,104,118,Disease/Disorder	midface hypoplasia,120,138,Disease/Disorder	myopia,147,153,Disease/Disorder	hearing loss,159,171,Disease/Disorder	"[{""token"": ""Kniest dysplasia"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Disease/Disorder""}, {""token"": ""type II collagenopathy"", ""start_span"": 40, ""end_span"": 62, ""type"": ""Disease/Disorder""}, {""token"": ""kyphoscoliosis"", ""start_span"": 104, ""end_span"": 118, ""type"": ""Disease/Disorder""}, {""token"": ""midface hypoplasia"", ""start_span"": 120, ""end_span"": 138, ""type"": ""Disease/Disorder""}, {""token"": ""myopia"", ""start_span"": 147, ""end_span"": 153, ""type"": ""Disease/Disorder""}, {""token"": ""hearing loss"", ""start_span"": 159, ""end_span"": 171, ""type"": ""Disease/Disorder""}]"	train
van der Woude syndrome ( vWS, MIM 119300) is a rare autosomal dominant clefting condition with cardinal features of mucous cysts ( lower - lip pits) and clefts to the lip and / or palate.	van der Woude syndrome,0,22,Disease/Disorder	vWS,25,28,Disease/Disorder	autosomal dominant clefting condition,52,89,Disease/Disorder	mucous cysts,116,128,Disease/Disorder	lower - lip pits,131,147,Disease/Disorder	clefts to the lip and / or palate,153,186,Disease/Disorder	"[{""token"": ""van der Woude syndrome"", ""start_span"": 0, ""end_span"": 22, ""type"": ""Disease/Disorder""}, {""token"": ""vWS"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Disease/Disorder""}, {""token"": ""autosomal dominant clefting condition"", ""start_span"": 52, ""end_span"": 89, ""type"": ""Disease/Disorder""}, {""token"": ""mucous cysts"", ""start_span"": 116, ""end_span"": 128, ""type"": ""Disease/Disorder""}, {""token"": ""lower - lip pits"", ""start_span"": 131, ""end_span"": 147, ""type"": ""Disease/Disorder""}, {""token"": ""clefts to the lip and / or palate"", ""start_span"": 153, ""end_span"": 186, ""type"": ""Disease/Disorder""}]"	train
The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.	ocular anomalies,109,125,Disease/Disorder	aniridia,137,145,Disease/Disorder	Peters anomaly,147,161,Disease/Disorder	corneal dystrophy,163,180,Disease/Disorder	congenital cataract,182,201,Disease/Disorder	foveal hypoplasia,207,224,Disease/Disorder	"[{""token"": ""ocular anomalies"", ""start_span"": 109, ""end_span"": 125, ""type"": ""Disease/Disorder""}, {""token"": ""aniridia"", ""start_span"": 137, ""end_span"": 145, ""type"": ""Disease/Disorder""}, {""token"": ""Peters anomaly"", ""start_span"": 147, ""end_span"": 161, ""type"": ""Disease/Disorder""}, {""token"": ""corneal dystrophy"", ""start_span"": 163, ""end_span"": 180, ""type"": ""Disease/Disorder""}, {""token"": ""congenital cataract"", ""start_span"": 182, ""end_span"": 201, ""type"": ""Disease/Disorder""}, {""token"": ""foveal hypoplasia"", ""start_span"": 207, ""end_span"": 224, ""type"": ""Disease/Disorder""}]"	train
Wiskott - Aldrich syndrome ( WAS) is an X - linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein ( WASP) gene.	Wiskott - Aldrich syndrome,0,26,Disease/Disorder	WAS,29,32,Disease/Disorder	X - linked recessive immunodeficiency,40,77,Disease/Disorder	thrombocytopenia,95,111,Disease/Disorder	eczema,113,119,Disease/Disorder	WAS,178,181,Disease/Disorder	"[{""token"": ""Wiskott - Aldrich syndrome"", ""start_span"": 0, ""end_span"": 26, ""type"": ""Disease/Disorder""}, {""token"": ""WAS"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Disease/Disorder""}, {""token"": ""X - linked recessive immunodeficiency"", ""start_span"": 40, ""end_span"": 77, ""type"": ""Disease/Disorder""}, {""token"": ""thrombocytopenia"", ""start_span"": 95, ""end_span"": 111, ""type"": ""Disease/Disorder""}, {""token"": ""eczema"", ""start_span"": 113, ""end_span"": 119, ""type"": ""Disease/Disorder""}, {""token"": ""WAS"", ""start_span"": 178, ""end_span"": 181, ""type"": ""Disease/Disorder""}]"	train
In contrast, hSNF5 / INI1 point mutations were not detected in breast cancers, Wilms tumors, gliomas, ependymomas, sarcomas and other tumor types, even though most analyzed cases harbored loss of heterozygosity at 22q11.	breast cancers,63,77,Disease/Disorder	Wilms tumors,79,91,Disease/Disorder	gliomas,93,100,Disease/Disorder	ependymomas,102,113,Disease/Disorder	sarcomas,115,123,Disease/Disorder	tumor,134,139,Disease/Disorder	"[{""token"": ""breast cancers"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Disease/Disorder""}, {""token"": ""Wilms tumors"", ""start_span"": 79, ""end_span"": 91, ""type"": ""Disease/Disorder""}, {""token"": ""gliomas"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Disease/Disorder""}, {""token"": ""ependymomas"", ""start_span"": 102, ""end_span"": 113, ""type"": ""Disease/Disorder""}, {""token"": ""sarcomas"", ""start_span"": 115, ""end_span"": 123, ""type"": ""Disease/Disorder""}, {""token"": ""tumor"", ""start_span"": 134, ""end_span"": 139, ""type"": ""Disease/Disorder""}]"	train
Pendred syndrome is a recessive inherited disorder that consists of developmental abnormalities of the cochlea, sensorineural hearing loss, and diffuse thyroid enlargement ( goiter).	Pendred syndrome,0,16,Disease/Disorder	recessive inherited disorder,22,50,Disease/Disorder	developmental abnormalities of the cochlea,68,110,Disease/Disorder	sensorineural hearing loss,112,138,Disease/Disorder	diffuse thyroid enlargement,144,171,Disease/Disorder	goiter,174,180,Disease/Disorder	"[{""token"": ""Pendred syndrome"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Disease/Disorder""}, {""token"": ""recessive inherited disorder"", ""start_span"": 22, ""end_span"": 50, ""type"": ""Disease/Disorder""}, {""token"": ""developmental abnormalities of the cochlea"", ""start_span"": 68, ""end_span"": 110, ""type"": ""Disease/Disorder""}, {""token"": ""sensorineural hearing loss"", ""start_span"": 112, ""end_span"": 138, ""type"": ""Disease/Disorder""}, {""token"": ""diffuse thyroid enlargement"", ""start_span"": 144, ""end_span"": 171, ""type"": ""Disease/Disorder""}, {""token"": ""goiter"", ""start_span"": 174, ""end_span"": 180, ""type"": ""Disease/Disorder""}]"	train
