Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
Emery - Dreifuss muscular dystrophy ( EDMD) is an X - linked recessive muscular dystrophy characterized by early contractures of the elbows, Achilles tendons and spine, slowly progressive muscle wasting and weakness, and cardiomyopathy associated with cardiac conduction defects.	Emery - Dreifuss muscular dystrophy,0,35,Disease/Disorder	EDMD,38,42,Disease/Disorder	X - linked recessive muscular dystrophy,50,89,Disease/Disorder	muscle wasting,188,202,Disease/Disorder	weakness,207,215,Disease/Disorder	cardiomyopathy,221,235,Disease/Disorder	cardiac conduction defects,252,278,Disease/Disorder	"[{""token"": ""Emery - Dreifuss muscular dystrophy"", ""start_span"": 0, ""end_span"": 35, ""type"": ""Disease/Disorder""}, {""token"": ""EDMD"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Disease/Disorder""}, {""token"": ""X - linked recessive muscular dystrophy"", ""start_span"": 50, ""end_span"": 89, ""type"": ""Disease/Disorder""}, {""token"": ""muscle wasting"", ""start_span"": 188, ""end_span"": 202, ""type"": ""Disease/Disorder""}, {""token"": ""weakness"", ""start_span"": 207, ""end_span"": 215, ""type"": ""Disease/Disorder""}, {""token"": ""cardiomyopathy"", ""start_span"": 221, ""end_span"": 235, ""type"": ""Disease/Disorder""}, {""token"": ""cardiac conduction defects"", ""start_span"": 252, ""end_span"": 278, ""type"": ""Disease/Disorder""}]"	train
The IQ of PAH - deficient mothers with a severe PKU mutation in combination with a MHP mutation or a mild PKU mutation was 99 and 96, respectively, whereas the IQ of PKU mothers with two severe PKU mutations or with one severe and one moderate PKU mutation was 83 and 84, respectively.	PAH - deficient,10,25,Disease/Disorder	PKU,48,51,Disease/Disorder	MHP,83,86,Disease/Disorder	PKU,106,109,Disease/Disorder	PKU,166,169,Disease/Disorder	PKU,194,197,Disease/Disorder	PKU,244,247,Disease/Disorder	"[{""token"": ""PAH - deficient"", ""start_span"": 10, ""end_span"": 25, ""type"": ""Disease/Disorder""}, {""token"": ""PKU"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Disease/Disorder""}, {""token"": ""MHP"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Disease/Disorder""}, {""token"": ""PKU"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Disease/Disorder""}, {""token"": ""PKU"", ""start_span"": 166, ""end_span"": 169, ""type"": ""Disease/Disorder""}, {""token"": ""PKU"", ""start_span"": 194, ""end_span"": 197, ""type"": ""Disease/Disorder""}, {""token"": ""PKU"", ""start_span"": 244, ""end_span"": 247, ""type"": ""Disease/Disorder""}]"	train
Sjogren - Larsson syndrome ( SLS) is an autosomal recessive disorder characterized by ichthyosis, mental retardation, spasticity, and deficient activity of fatty aldehyde dehydrogenase ( FALDH).	Sjogren - Larsson syndrome,0,26,Disease/Disorder	SLS,29,32,Disease/Disorder	autosomal recessive disorder,40,68,Disease/Disorder	ichthyosis,86,96,Disease/Disorder	mental retardation,98,116,Disease/Disorder	spasticity,118,128,Disease/Disorder	deficient activity of fatty aldehyde dehydrogenase,134,184,Disease/Disorder	"[{""token"": ""Sjogren - Larsson syndrome"", ""start_span"": 0, ""end_span"": 26, ""type"": ""Disease/Disorder""}, {""token"": ""SLS"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Disease/Disorder""}, {""token"": ""autosomal recessive disorder"", ""start_span"": 40, ""end_span"": 68, ""type"": ""Disease/Disorder""}, {""token"": ""ichthyosis"", ""start_span"": 86, ""end_span"": 96, ""type"": ""Disease/Disorder""}, {""token"": ""mental retardation"", ""start_span"": 98, ""end_span"": 116, ""type"": ""Disease/Disorder""}, {""token"": ""spasticity"", ""start_span"": 118, ""end_span"": 128, ""type"": ""Disease/Disorder""}, {""token"": ""deficient activity of fatty aldehyde dehydrogenase"", ""start_span"": 134, ""end_span"": 184, ""type"": ""Disease/Disorder""}]"	train
Ataxia - telangiectasia is a hereditary multisystemic disease resulting from mutations of ataxia telangiectasia, mutated ( ATM) and is characterized by neurodegeneration, cancer, immune defects, and hypersensitivity to ionizing radiation.	Ataxia - telangiectasia,0,23,Disease/Disorder	hereditary multisystemic disease,29,61,Disease/Disorder	ataxia telangiectasia,90,111,Disease/Disorder	neurodegeneration,152,169,Disease/Disorder	cancer,171,177,Disease/Disorder	immune defects,179,193,Disease/Disorder	hypersensitivity to ionizing radiation,199,237,Disease/Disorder	"[{""token"": ""Ataxia - telangiectasia"", ""start_span"": 0, ""end_span"": 23, ""type"": ""Disease/Disorder""}, {""token"": ""hereditary multisystemic disease"", ""start_span"": 29, ""end_span"": 61, ""type"": ""Disease/Disorder""}, {""token"": ""ataxia telangiectasia"", ""start_span"": 90, ""end_span"": 111, ""type"": ""Disease/Disorder""}, {""token"": ""neurodegeneration"", ""start_span"": 152, ""end_span"": 169, ""type"": ""Disease/Disorder""}, {""token"": ""cancer"", ""start_span"": 171, ""end_span"": 177, ""type"": ""Disease/Disorder""}, {""token"": ""immune defects"", ""start_span"": 179, ""end_span"": 193, ""type"": ""Disease/Disorder""}, {""token"": ""hypersensitivity to ionizing radiation"", ""start_span"": 199, ""end_span"": 237, ""type"": ""Disease/Disorder""}]"	train
The rare diseases ataxia - telangiectasia ( AT), caused by mutations in the ATM gene, and Nijmegen breakage syndrome ( NBS), with mutations in the p95 / nbs1 gene, share a variety of phenotypic abnormalities such as chromosomal instability, radiation sensitivity and defects in cell - cycle checkpoints in response to ionizing radiation.	rare diseases,4,17,Disease/Disorder	ataxia - telangiectasia,18,41,Disease/Disorder	AT,44,46,Disease/Disorder	Nijmegen breakage syndrome,90,116,Disease/Disorder	NBS,119,122,Disease/Disorder	phenotypic abnormalities,183,207,Disease/Disorder	chromosomal instability,216,239,Disease/Disorder	"[{""token"": ""rare diseases"", ""start_span"": 4, ""end_span"": 17, ""type"": ""Disease/Disorder""}, {""token"": ""ataxia - telangiectasia"", ""start_span"": 18, ""end_span"": 41, ""type"": ""Disease/Disorder""}, {""token"": ""AT"", ""start_span"": 44, ""end_span"": 46, ""type"": ""Disease/Disorder""}, {""token"": ""Nijmegen breakage syndrome"", ""start_span"": 90, ""end_span"": 116, ""type"": ""Disease/Disorder""}, {""token"": ""NBS"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Disease/Disorder""}, {""token"": ""phenotypic abnormalities"", ""start_span"": 183, ""end_span"": 207, ""type"": ""Disease/Disorder""}, {""token"": ""chromosomal instability"", ""start_span"": 216, ""end_span"": 239, ""type"": ""Disease/Disorder""}]"	train
Prader - Willi syndrome ( PWS) is a neurogenetic disease characterized by infantile hypotonia, gonadal hypoplasia, obsessive behaviour and neonatal feeding difficulties followed by hyperphagia, leading to profound obesity.	Prader - Willi syndrome,0,23,Disease/Disorder	PWS,26,29,Disease/Disorder	neurogenetic disease,36,56,Disease/Disorder	infantile hypotonia,74,93,Disease/Disorder	gonadal hypoplasia,95,113,Disease/Disorder	hyperphagia,181,192,Disease/Disorder	obesity,214,221,Disease/Disorder	"[{""token"": ""Prader - Willi syndrome"", ""start_span"": 0, ""end_span"": 23, ""type"": ""Disease/Disorder""}, {""token"": ""PWS"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Disease/Disorder""}, {""token"": ""neurogenetic disease"", ""start_span"": 36, ""end_span"": 56, ""type"": ""Disease/Disorder""}, {""token"": ""infantile hypotonia"", ""start_span"": 74, ""end_span"": 93, ""type"": ""Disease/Disorder""}, {""token"": ""gonadal hypoplasia"", ""start_span"": 95, ""end_span"": 113, ""type"": ""Disease/Disorder""}, {""token"": ""hyperphagia"", ""start_span"": 181, ""end_span"": 192, ""type"": ""Disease/Disorder""}, {""token"": ""obesity"", ""start_span"": 214, ""end_span"": 221, ""type"": ""Disease/Disorder""}]"	train
To determine whether PDS mutations in individuals with Pendred syndrome differ functionally from PDS mutations in individuals with non - syndromic hearing loss, we compared three common Pendred syndrome allele variants ( L236P, T416P and E384G), with three PDS mutations reported only in individuals with non - syndromic hearing loss ( V480D, V653A and I490L / G497S).	PDS,21,24,Disease/Disorder	Pendred syndrome,55,71,Disease/Disorder	PDS,97,100,Disease/Disorder	non - syndromic hearing loss,131,159,Disease/Disorder	Pendred syndrome,186,202,Disease/Disorder	PDS,257,260,Disease/Disorder	non - syndromic hearing loss,305,333,Disease/Disorder	"[{""token"": ""PDS"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Disease/Disorder""}, {""token"": ""Pendred syndrome"", ""start_span"": 55, ""end_span"": 71, ""type"": ""Disease/Disorder""}, {""token"": ""PDS"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Disease/Disorder""}, {""token"": ""non - syndromic hearing loss"", ""start_span"": 131, ""end_span"": 159, ""type"": ""Disease/Disorder""}, {""token"": ""Pendred syndrome"", ""start_span"": 186, ""end_span"": 202, ""type"": ""Disease/Disorder""}, {""token"": ""PDS"", ""start_span"": 257, ""end_span"": 260, ""type"": ""Disease/Disorder""}, {""token"": ""non - syndromic hearing loss"", ""start_span"": 305, ""end_span"": 333, ""type"": ""Disease/Disorder""}]"	train
We report familial adenomatous polyposis coli ( FAPC) with epidermoid cysts, osteomata, and areas of congenital hypertrophy of the retinal pigment epithelium ( CHRPEs) in a male patient and his maternal aunt, both of whom suffered a mild to moderate degree of mental handicap.	familial adenomatous polyposis coli,10,45,Disease/Disorder	FAPC,48,52,Disease/Disorder	epidermoid cysts,59,75,Disease/Disorder	osteomata,77,86,Disease/Disorder	congenital hypertrophy of the retinal pigment epithelium,101,157,Disease/Disorder	CHRPEs,160,166,Disease/Disorder	mental handicap,260,275,Disease/Disorder	"[{""token"": ""familial adenomatous polyposis coli"", ""start_span"": 10, ""end_span"": 45, ""type"": ""Disease/Disorder""}, {""token"": ""FAPC"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Disease/Disorder""}, {""token"": ""epidermoid cysts"", ""start_span"": 59, ""end_span"": 75, ""type"": ""Disease/Disorder""}, {""token"": ""osteomata"", ""start_span"": 77, ""end_span"": 86, ""type"": ""Disease/Disorder""}, {""token"": ""congenital hypertrophy of the retinal pigment epithelium"", ""start_span"": 101, ""end_span"": 157, ""type"": ""Disease/Disorder""}, {""token"": ""CHRPEs"", ""start_span"": 160, ""end_span"": 166, ""type"": ""Disease/Disorder""}, {""token"": ""mental handicap"", ""start_span"": 260, ""end_span"": 275, ""type"": ""Disease/Disorder""}]"	train
A 24 year old male with a history of eczema, recurrent mild infections, and thrombocytopenia consistent with the Wiskott - Aldrich syndrome ( WAS) presented with a mediastinal mass, generalized lymphadenopathy, splenomegaly, and severe thrombocytopenia.	eczema,37,43,Disease/Disorder	thrombocytopenia,76,92,Disease/Disorder	Wiskott - Aldrich syndrome,113,139,Disease/Disorder	WAS,142,145,Disease/Disorder	lymphadenopathy,194,209,Disease/Disorder	splenomegaly,211,223,Disease/Disorder	thrombocytopenia,236,252,Disease/Disorder	"[{""token"": ""eczema"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Disease/Disorder""}, {""token"": ""thrombocytopenia"", ""start_span"": 76, ""end_span"": 92, ""type"": ""Disease/Disorder""}, {""token"": ""Wiskott - Aldrich syndrome"", ""start_span"": 113, ""end_span"": 139, ""type"": ""Disease/Disorder""}, {""token"": ""WAS"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Disease/Disorder""}, {""token"": ""lymphadenopathy"", ""start_span"": 194, ""end_span"": 209, ""type"": ""Disease/Disorder""}, {""token"": ""splenomegaly"", ""start_span"": 211, ""end_span"": 223, ""type"": ""Disease/Disorder""}, {""token"": ""thrombocytopenia"", ""start_span"": 236, ""end_span"": 252, ""type"": ""Disease/Disorder""}]"	train
We examined somatic mutations of the adenomatous polyposis coli ( APC) gene in 63 colorectal tumors ( 16 adenomas and 47 carcinomas) developed in familial adenomatous polyposis ( FAP) and non - FAP patients.	adenomatous polyposis coli,37,63,Disease/Disorder	APC,66,69,Disease/Disorder	colorectal tumors,82,99,Disease/Disorder	adenomas,105,113,Disease/Disorder	carcinomas,121,131,Disease/Disorder	familial adenomatous polyposis,146,176,Disease/Disorder	FAP,179,182,Disease/Disorder	"[{""token"": ""adenomatous polyposis coli"", ""start_span"": 37, ""end_span"": 63, ""type"": ""Disease/Disorder""}, {""token"": ""APC"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Disease/Disorder""}, {""token"": ""colorectal tumors"", ""start_span"": 82, ""end_span"": 99, ""type"": ""Disease/Disorder""}, {""token"": ""adenomas"", ""start_span"": 105, ""end_span"": 113, ""type"": ""Disease/Disorder""}, {""token"": ""carcinomas"", ""start_span"": 121, ""end_span"": 131, ""type"": ""Disease/Disorder""}, {""token"": ""familial adenomatous polyposis"", ""start_span"": 146, ""end_span"": 176, ""type"": ""Disease/Disorder""}, {""token"": ""FAP"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Disease/Disorder""}]"	train
