Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
First identified in chicken, vigilin homologues have now been found in human ( 6), Xenopus laevis ( 7), Drosophila melanogaster ( 8), C. elegans ( 5) and Schizosaccharomyces pombe.	chicken,20,27,Organism/Species	human,71,76,Organism/Species	Xenopus laevis,83,97,Organism/Species	Drosophila melanogaster,104,127,Organism/Species	Schizosaccharomyces pombe,154,179,Organism/Species	"[{""token"": ""chicken"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Organism/Species""}, {""token"": ""human"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Organism/Species""}, {""token"": ""Xenopus laevis"", ""start_span"": 83, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""Drosophila melanogaster"", ""start_span"": 104, ""end_span"": 127, ""type"": ""Organism/Species""}, {""token"": ""Schizosaccharomyces pombe"", ""start_span"": 154, ""end_span"": 179, ""type"": ""Organism/Species""}]"	train
Simian immunodeficiency virus SIVmac239 infects both the sooty mangabey and the rhesus macaque, reaching high viral loads in both hosts, yet it is only virulent for the rhesus macaque [ 36].	Simian immunodeficiency virus,0,29,Organism/Species	SIVmac239,30,39,Organism/Species	sooty mangabey,57,71,Organism/Species	rhesus macaque,80,94,Organism/Species	rhesus macaque,169,183,Organism/Species	"[{""token"": ""Simian immunodeficiency virus"", ""start_span"": 0, ""end_span"": 29, ""type"": ""Organism/Species""}, {""token"": ""SIVmac239"", ""start_span"": 30, ""end_span"": 39, ""type"": ""Organism/Species""}, {""token"": ""sooty mangabey"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Organism/Species""}, {""token"": ""rhesus macaque"", ""start_span"": 80, ""end_span"": 94, ""type"": ""Organism/Species""}, {""token"": ""rhesus macaque"", ""start_span"": 169, ""end_span"": 183, ""type"": ""Organism/Species""}]"	train
Ginger, garlic, aloes, shandileer, wild onion, pepper and black sage were the most commonly used herbs.	Ginger,0,6,Organism/Species	garlic,8,14,Organism/Species	shandileer,23,33,Organism/Species	onion,40,45,Organism/Species	black sage,58,68,Organism/Species	"[{""token"": ""Ginger"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism/Species""}, {""token"": ""garlic"", ""start_span"": 8, ""end_span"": 14, ""type"": ""Organism/Species""}, {""token"": ""shandileer"", ""start_span"": 23, ""end_span"": 33, ""type"": ""Organism/Species""}, {""token"": ""onion"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Organism/Species""}, {""token"": ""black sage"", ""start_span"": 58, ""end_span"": 68, ""type"": ""Organism/Species""}]"	train
Almost one in four patients using medicinal herbs ( 22. 5%) used either garlic ( Allium sativum) or ginger ( Zingiber officinale) for symptomatic relief of asthma, Table 6.	patients,19,27,Organism/Species	garlic,72,78,Organism/Species	Allium sativum,81,95,Organism/Species	ginger,100,106,Organism/Species	Zingiber officinale,109,128,Organism/Species	"[{""token"": ""patients"", ""start_span"": 19, ""end_span"": 27, ""type"": ""Organism/Species""}, {""token"": ""garlic"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Organism/Species""}, {""token"": ""Allium sativum"", ""start_span"": 81, ""end_span"": 95, ""type"": ""Organism/Species""}, {""token"": ""ginger"", ""start_span"": 100, ""end_span"": 106, ""type"": ""Organism/Species""}, {""token"": ""Zingiber officinale"", ""start_span"": 109, ""end_span"": 128, ""type"": ""Organism/Species""}]"	train
Herbs of European and North American origin, identified as Echinacea ( Echinacea purpurea), Golden Seal ( Hydrastis canadensis) and Chamomile ( Matricaria chamomilla) were less frequently used.	Echinacea purpurea,71,89,Organism/Species	Golden Seal,92,103,Organism/Species	Hydrastis canadensis,106,126,Organism/Species	Chamomile,132,141,Organism/Species	Matricaria chamomilla,144,165,Organism/Species	"[{""token"": ""Echinacea purpurea"", ""start_span"": 71, ""end_span"": 89, ""type"": ""Organism/Species""}, {""token"": ""Golden Seal"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Organism/Species""}, {""token"": ""Hydrastis canadensis"", ""start_span"": 106, ""end_span"": 126, ""type"": ""Organism/Species""}, {""token"": ""Chamomile"", ""start_span"": 132, ""end_span"": 141, ""type"": ""Organism/Species""}, {""token"": ""Matricaria chamomilla"", ""start_span"": 144, ""end_span"": 165, ""type"": ""Organism/Species""}]"	train
However, the lack of crossed recognition of cox2 promoters in wheat and potato is not a general situation since the A. thaliana cox2 gene is expressed and spliced when introduced into maize mitochondria, indicating that the Arabidopsis gene shares some signals with maize cox2 promoter that are sufficient for transcription ( 18).	wheat,62,67,Organism/Species	potato,72,78,Organism/Species	maize,184,189,Organism/Species	Arabidopsis,224,235,Organism/Species	maize,266,271,Organism/Species	"[{""token"": ""wheat"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Organism/Species""}, {""token"": ""potato"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Organism/Species""}, {""token"": ""Arabidopsis"", ""start_span"": 224, ""end_span"": 235, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 266, ""end_span"": 271, ""type"": ""Organism/Species""}]"	valid
From these, 40 patients ( 20 men and 20 women) were selected with mild hyperlipidemia, i. e. with plasma triglyceride concentration exceeding 2. 0 mmol / l, total cholesterol exceeding 6. 0 mmol / l, LDL cholesterol exceeding 4. 0 mmol / l, and with HDL cholesterol concentration in men under 1. 0 mmol / l, and in women under 1. 2 mmol / l.	patients,15,23,Organism/Species	men,29,32,Organism/Species	women,40,45,Organism/Species	men,283,286,Organism/Species	women,315,320,Organism/Species	"[{""token"": ""patients"", ""start_span"": 15, ""end_span"": 23, ""type"": ""Organism/Species""}, {""token"": ""men"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Organism/Species""}, {""token"": ""women"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Organism/Species""}, {""token"": ""men"", ""start_span"": 283, ""end_span"": 286, ""type"": ""Organism/Species""}, {""token"": ""women"", ""start_span"": 315, ""end_span"": 320, ""type"": ""Organism/Species""}]"	test
The following primary antibodies and dilutions were used: mouse anti - Neuroglian ( kindly provided by M. Hortsch) 1: 250; Guinea pig anti - Coracle ( kindly provided by R. G. Fehon) 1: 2500; rabbit anti - Mlp84B ( kindly provided by M. Beckerle) 1: 1000; mouse anti - hts ( 1B1, Developmental Studies Hybridoma Bank, DSHB) 1: 75; mouse anti - Na, K - ATPase ( alpha 5, DSHB) 1: 100.	mouse,58,63,Organism/Species	Guinea pig,123,133,Organism/Species	rabbit,192,198,Organism/Species	mouse,256,261,Organism/Species	mouse,331,336,Organism/Species	"[{""token"": ""mouse"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Organism/Species""}, {""token"": ""Guinea pig"", ""start_span"": 123, ""end_span"": 133, ""type"": ""Organism/Species""}, {""token"": ""rabbit"", ""start_span"": 192, ""end_span"": 198, ""type"": ""Organism/Species""}, {""token"": ""mouse"", ""start_span"": 256, ""end_span"": 261, ""type"": ""Organism/Species""}, {""token"": ""mouse"", ""start_span"": 331, ""end_span"": 336, ""type"": ""Organism/Species""}]"	test
( xiv) pregnant or lactating women, or women who are of child bearing age or have not undergone menopause ( Synvisc ( R) has not been tested in pregnant women or women who are nursing);	women,29,34,Organism/Species	women,39,44,Organism/Species	child,56,61,Organism/Species	women,153,158,Organism/Species	women,162,167,Organism/Species	"[{""token"": ""women"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Organism/Species""}, {""token"": ""women"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Organism/Species""}, {""token"": ""child"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Organism/Species""}, {""token"": ""women"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Organism/Species""}, {""token"": ""women"", ""start_span"": 162, ""end_span"": 167, ""type"": ""Organism/Species""}]"	test
First identified in chicken, vigilin homologues have now been found in human ( 6), Xenopus laevis ( 7), Drosophila melanogaster ( 8), C. elegans ( 5) and Schizosaccharomyces pombe.	chicken,20,27,Organism/Species	human,71,76,Organism/Species	Xenopus laevis,83,97,Organism/Species	Drosophila melanogaster,104,127,Organism/Species	Schizosaccharomyces pombe,154,179,Organism/Species	"[{""token"": ""chicken"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Organism/Species""}, {""token"": ""human"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Organism/Species""}, {""token"": ""Xenopus laevis"", ""start_span"": 83, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""Drosophila melanogaster"", ""start_span"": 104, ""end_span"": 127, ""type"": ""Organism/Species""}, {""token"": ""Schizosaccharomyces pombe"", ""start_span"": 154, ""end_span"": 179, ""type"": ""Organism/Species""}]"	train
Simian immunodeficiency virus SIVmac239 infects both the sooty mangabey and the rhesus macaque, reaching high viral loads in both hosts, yet it is only virulent for the rhesus macaque [ 36].	Simian immunodeficiency virus,0,29,Organism/Species	SIVmac239,30,39,Organism/Species	sooty mangabey,57,71,Organism/Species	rhesus macaque,80,94,Organism/Species	rhesus macaque,169,183,Organism/Species	"[{""token"": ""Simian immunodeficiency virus"", ""start_span"": 0, ""end_span"": 29, ""type"": ""Organism/Species""}, {""token"": ""SIVmac239"", ""start_span"": 30, ""end_span"": 39, ""type"": ""Organism/Species""}, {""token"": ""sooty mangabey"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Organism/Species""}, {""token"": ""rhesus macaque"", ""start_span"": 80, ""end_span"": 94, ""type"": ""Organism/Species""}, {""token"": ""rhesus macaque"", ""start_span"": 169, ""end_span"": 183, ""type"": ""Organism/Species""}]"	train
Ginger, garlic, aloes, shandileer, wild onion, pepper and black sage were the most commonly used herbs.	Ginger,0,6,Organism/Species	garlic,8,14,Organism/Species	shandileer,23,33,Organism/Species	onion,40,45,Organism/Species	black sage,58,68,Organism/Species	"[{""token"": ""Ginger"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism/Species""}, {""token"": ""garlic"", ""start_span"": 8, ""end_span"": 14, ""type"": ""Organism/Species""}, {""token"": ""shandileer"", ""start_span"": 23, ""end_span"": 33, ""type"": ""Organism/Species""}, {""token"": ""onion"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Organism/Species""}, {""token"": ""black sage"", ""start_span"": 58, ""end_span"": 68, ""type"": ""Organism/Species""}]"	train
Almost one in four patients using medicinal herbs ( 22. 5%) used either garlic ( Allium sativum) or ginger ( Zingiber officinale) for symptomatic relief of asthma, Table 6.	patients,19,27,Organism/Species	garlic,72,78,Organism/Species	Allium sativum,81,95,Organism/Species	ginger,100,106,Organism/Species	Zingiber officinale,109,128,Organism/Species	"[{""token"": ""patients"", ""start_span"": 19, ""end_span"": 27, ""type"": ""Organism/Species""}, {""token"": ""garlic"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Organism/Species""}, {""token"": ""Allium sativum"", ""start_span"": 81, ""end_span"": 95, ""type"": ""Organism/Species""}, {""token"": ""ginger"", ""start_span"": 100, ""end_span"": 106, ""type"": ""Organism/Species""}, {""token"": ""Zingiber officinale"", ""start_span"": 109, ""end_span"": 128, ""type"": ""Organism/Species""}]"	train
Herbs of European and North American origin, identified as Echinacea ( Echinacea purpurea), Golden Seal ( Hydrastis canadensis) and Chamomile ( Matricaria chamomilla) were less frequently used.	Echinacea purpurea,71,89,Organism/Species	Golden Seal,92,103,Organism/Species	Hydrastis canadensis,106,126,Organism/Species	Chamomile,132,141,Organism/Species	Matricaria chamomilla,144,165,Organism/Species	"[{""token"": ""Echinacea purpurea"", ""start_span"": 71, ""end_span"": 89, ""type"": ""Organism/Species""}, {""token"": ""Golden Seal"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Organism/Species""}, {""token"": ""Hydrastis canadensis"", ""start_span"": 106, ""end_span"": 126, ""type"": ""Organism/Species""}, {""token"": ""Chamomile"", ""start_span"": 132, ""end_span"": 141, ""type"": ""Organism/Species""}, {""token"": ""Matricaria chamomilla"", ""start_span"": 144, ""end_span"": 165, ""type"": ""Organism/Species""}]"	train
However, the lack of crossed recognition of cox2 promoters in wheat and potato is not a general situation since the A. thaliana cox2 gene is expressed and spliced when introduced into maize mitochondria, indicating that the Arabidopsis gene shares some signals with maize cox2 promoter that are sufficient for transcription ( 18).	wheat,62,67,Organism/Species	potato,72,78,Organism/Species	maize,184,189,Organism/Species	Arabidopsis,224,235,Organism/Species	maize,266,271,Organism/Species	"[{""token"": ""wheat"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Organism/Species""}, {""token"": ""potato"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Organism/Species""}, {""token"": ""Arabidopsis"", ""start_span"": 224, ""end_span"": 235, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 266, ""end_span"": 271, ""type"": ""Organism/Species""}]"	train
