Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Phylogenetic analysis based on 16S rRNA gene sequences indicated that strain OU - 40 ( T) belonged to the genus Streptomyces, and was related most closely to Streptomyces pactum NBRC 13433 ( T) ( 99. 0% sequence similarity), Streptomyces olivaceus NBRC 12805 ( T) ( 99. 0%) and Streptomyces parvulus NBRC 13193 ( T) ( 98. 8%).	OU - 40,77,84,Organism/Species	Streptomyces pactum,158,177,Organism/Species	Streptomyces olivaceus,225,247,Organism/Species	Streptomyces parvulus,278,299,Organism/Species	"[{""token"": ""OU - 40"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Organism/Species""}, {""token"": ""Streptomyces pactum"", ""start_span"": 158, ""end_span"": 177, ""type"": ""Organism/Species""}, {""token"": ""Streptomyces olivaceus"", ""start_span"": 225, ""end_span"": 247, ""type"": ""Organism/Species""}, {""token"": ""Streptomyces parvulus"", ""start_span"": 278, ""end_span"": 299, ""type"": ""Organism/Species""}]"	train
Based on 16S rRNA gene sequence similarities, strain CC - 12301 ( T) was shown to belong to the genus Gordonia and was most closely related to the type strains of Gordonia hydrophobica ( 97. 6% similarity), Gordonia terrae ( 97. 5%), Gordonia amarae ( 97. 5%) and Gordonia malaquae ( 97. 4%).	Gordonia hydrophobica,163,184,Organism/Species	Gordonia terrae,207,222,Organism/Species	Gordonia amarae,234,249,Organism/Species	Gordonia malaquae,264,281,Organism/Species	"[{""token"": ""Gordonia hydrophobica"", ""start_span"": 163, ""end_span"": 184, ""type"": ""Organism/Species""}, {""token"": ""Gordonia terrae"", ""start_span"": 207, ""end_span"": 222, ""type"": ""Organism/Species""}, {""token"": ""Gordonia amarae"", ""start_span"": 234, ""end_span"": 249, ""type"": ""Organism/Species""}, {""token"": ""Gordonia malaquae"", ""start_span"": 264, ""end_span"": 281, ""type"": ""Organism/Species""}]"	train
Phylogenetic analysis based on 16S rRNA gene sequences showed that strain YM18 - 15 ( T) formed a clade with Serinibacter salmoneus, Salana multivorans and Beutenbergia cavernae.	YM18 - 15,74,83,Organism/Species	Serinibacter salmoneus,109,131,Organism/Species	Salana multivorans,133,151,Organism/Species	Beutenbergia cavernae,156,177,Organism/Species	"[{""token"": ""YM18 - 15"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Organism/Species""}, {""token"": ""Serinibacter salmoneus"", ""start_span"": 109, ""end_span"": 131, ""type"": ""Organism/Species""}, {""token"": ""Salana multivorans"", ""start_span"": 133, ""end_span"": 151, ""type"": ""Organism/Species""}, {""token"": ""Beutenbergia cavernae"", ""start_span"": 156, ""end_span"": 177, ""type"": ""Organism/Species""}]"	train
These proteins are similar in sequence to mastigoneme proteins in other stramenopile protists including the algae Ochromonas danica, Aureococcus anophagefferens and Scytosiphon lomentaria and the diatoms Thalassiosira pseudonana and T. weissflogii.	Ochromonas danica,114,131,Organism/Species	Aureococcus anophagefferens,133,160,Organism/Species	Scytosiphon lomentaria,165,187,Organism/Species	Thalassiosira pseudonana,204,228,Organism/Species	"[{""token"": ""Ochromonas danica"", ""start_span"": 114, ""end_span"": 131, ""type"": ""Organism/Species""}, {""token"": ""Aureococcus anophagefferens"", ""start_span"": 133, ""end_span"": 160, ""type"": ""Organism/Species""}, {""token"": ""Scytosiphon lomentaria"", ""start_span"": 165, ""end_span"": 187, ""type"": ""Organism/Species""}, {""token"": ""Thalassiosira pseudonana"", ""start_span"": 204, ""end_span"": 228, ""type"": ""Organism/Species""}]"	train
Stable isotope values from body tissues with different turnover rates were used to quantify patterns of individual specialization in two species of ' generalist ' sharks ( bull sharks, Carcharhinus leucas, and tiger sharks, Galeocerdo cuvier).	bull sharks,172,183,Organism/Species	Carcharhinus leucas,185,204,Organism/Species	tiger sharks,210,222,Organism/Species	Galeocerdo cuvier,224,241,Organism/Species	"[{""token"": ""bull sharks"", ""start_span"": 172, ""end_span"": 183, ""type"": ""Organism/Species""}, {""token"": ""Carcharhinus leucas"", ""start_span"": 185, ""end_span"": 204, ""type"": ""Organism/Species""}, {""token"": ""tiger sharks"", ""start_span"": 210, ""end_span"": 222, ""type"": ""Organism/Species""}, {""token"": ""Galeocerdo cuvier"", ""start_span"": 224, ""end_span"": 241, ""type"": ""Organism/Species""}]"	train
Durable resistance to apple scab ( Venturia inaequalis ( Cke) Wint; anamorph Spilocaea pomi Fries) is one of the major goals of apple ( Malus) breeding programs.	apple,22,27,Organism/Species	Venturia inaequalis,35,54,Organism/Species	Spilocaea pomi,77,91,Organism/Species	apple,128,133,Organism/Species	"[{""token"": ""apple"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Organism/Species""}, {""token"": ""Venturia inaequalis"", ""start_span"": 35, ""end_span"": 54, ""type"": ""Organism/Species""}, {""token"": ""Spilocaea pomi"", ""start_span"": 77, ""end_span"": 91, ""type"": ""Organism/Species""}, {""token"": ""apple"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Organism/Species""}]"	train
* In order to gain insights into the transport and distribution of arsenic ( As) in intact rice ( Oryza sativa) plants and its unloading into the rice grain, we investigated the spatial distribution of As and the temporal variation of As concentration in whole rice plants at different growth stages.	rice,91,95,Organism/Species	Oryza sativa,98,110,Organism/Species	rice,146,150,Organism/Species	rice plants,261,272,Organism/Species	"[{""token"": ""rice"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Organism/Species""}, {""token"": ""Oryza sativa"", ""start_span"": 98, ""end_span"": 110, ""type"": ""Organism/Species""}, {""token"": ""rice"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Organism/Species""}, {""token"": ""rice plants"", ""start_span"": 261, ""end_span"": 272, ""type"": ""Organism/Species""}]"	train
We observed interference at nest - sites in free - living populations of the endangered Gouldian finch ( Erythrura gouldiae) and sympatric long - tailed finch ( Poephila acuticauda), and also experimentally tested the relative strength and effect of interference at nest - sites in captive populations.	Gouldian finch,88,102,Organism/Species	Erythrura gouldiae,105,123,Organism/Species	long - tailed finch,139,158,Organism/Species	Poephila acuticauda,161,180,Organism/Species	"[{""token"": ""Gouldian finch"", ""start_span"": 88, ""end_span"": 102, ""type"": ""Organism/Species""}, {""token"": ""Erythrura gouldiae"", ""start_span"": 105, ""end_span"": 123, ""type"": ""Organism/Species""}, {""token"": ""long - tailed finch"", ""start_span"": 139, ""end_span"": 158, ""type"": ""Organism/Species""}, {""token"": ""Poephila acuticauda"", ""start_span"": 161, ""end_span"": 180, ""type"": ""Organism/Species""}]"	train
Strong anaerobic reporter gene activity in tobacco ( Nicotiana tabacum) controlled by the glycolytic glyceraldehyde - 3 - phosphate dehydrogenase ( GapC4) promoter from maize ( Zea mays) depends on the presence of CO ( 2) and light.	tobacco,43,50,Organism/Species	Nicotiana tabacum,53,70,Organism/Species	maize,169,174,Organism/Species	Zea mays,177,185,Organism/Species	"[{""token"": ""tobacco"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Organism/Species""}, {""token"": ""Nicotiana tabacum"", ""start_span"": 53, ""end_span"": 70, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 169, ""end_span"": 174, ""type"": ""Organism/Species""}, {""token"": ""Zea mays"", ""start_span"": 177, ""end_span"": 185, ""type"": ""Organism/Species""}]"	train
Infectious hypodermal and hematopoietic necrosis virus ( IHHNV) is an important shrimp pathogen that causes mortality in Penaeus stylirostris and stunting ( called runt deformity syndrome or RDS) in Penaeus vannamei.	Infectious hypodermal and hematopoietic necrosis virus,0,54,Organism/Species	IHHNV,57,62,Organism/Species	Penaeus stylirostris,121,141,Organism/Species	Penaeus vannamei,199,215,Organism/Species	"[{""token"": ""Infectious hypodermal and hematopoietic necrosis virus"", ""start_span"": 0, ""end_span"": 54, ""type"": ""Organism/Species""}, {""token"": ""IHHNV"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Organism/Species""}, {""token"": ""Penaeus stylirostris"", ""start_span"": 121, ""end_span"": 141, ""type"": ""Organism/Species""}, {""token"": ""Penaeus vannamei"", ""start_span"": 199, ""end_span"": 215, ""type"": ""Organism/Species""}]"	train
