Sentence	entity_1	entity_2	entity_3	entity_4	json	split
DNA was extracted from the planktonic or solid phase of the wood chip reactors and from the drainage water ( inoculum).	planktonic,27,37,sample-material	wood chip,60,69,sample-material	drainage water,92,106,sample-material	inoculum,109,117,sample-material	"[{""token"": ""planktonic"", ""start_span"": 27, ""end_span"": 37, ""type"": ""sample-material""}, {""token"": ""wood chip"", ""start_span"": 60, ""end_span"": 69, ""type"": ""sample-material""}, {""token"": ""drainage water"", ""start_span"": 92, ""end_span"": 106, ""type"": ""sample-material""}, {""token"": ""inoculum"", ""start_span"": 109, ""end_span"": 117, ""type"": ""sample-material""}]"	valid
Inoculum, Sample Collection and Operational Parameters of the AnMBR The AnMBR was inoculated with seed sludge at 20 g / L of MLSS from a brewery wastewater treatment plant in the start - up period, and after shock loading, a new inoculum with 16. 14 g / L of MLSS from an anaerobic plant in the Xiao Hong Men municipal wastewater treatment plant was used to prevent the AnMBR from failing.	seed sludge,98,109,sample-material	MLSS,125,129,sample-material	brewery wastewater,137,155,sample-material	MLSS,259,263,sample-material	"[{""token"": ""seed sludge"", ""start_span"": 98, ""end_span"": 109, ""type"": ""sample-material""}, {""token"": ""MLSS"", ""start_span"": 125, ""end_span"": 129, ""type"": ""sample-material""}, {""token"": ""brewery wastewater"", ""start_span"": 137, ""end_span"": 155, ""type"": ""sample-material""}, {""token"": ""MLSS"", ""start_span"": 259, ""end_span"": 263, ""type"": ""sample-material""}]"	train
These comprised five soil, one snow, three endoliths and two lake samples.	soil,21,25,sample-material	snow,31,35,sample-material	endoliths,43,52,sample-material	lake samples,61,73,sample-material	"[{""token"": ""soil"", ""start_span"": 21, ""end_span"": 25, ""type"": ""sample-material""}, {""token"": ""snow"", ""start_span"": 31, ""end_span"": 35, ""type"": ""sample-material""}, {""token"": ""endoliths"", ""start_span"": 43, ""end_span"": 52, ""type"": ""sample-material""}, {""token"": ""lake samples"", ""start_span"": 61, ""end_span"": 73, ""type"": ""sample-material""}]"	train
Samples and Reagents Four batches of Lisosan G ( LG1, LG2, LG3, LG4), a food supplement obtained from lysed fine bran and germ of organic wheat grains ( Triticum aestivum), were provided by Agrisan Srl Company, Larciano ( Pistoia, Italy).	Lisosan G,37,46,sample-material	LG1,49,52,sample-material	food supplement,72,87,sample-material	lysed fine bran,102,117,sample-material	"[{""token"": ""Lisosan G"", ""start_span"": 37, ""end_span"": 46, ""type"": ""sample-material""}, {""token"": ""LG1"", ""start_span"": 49, ""end_span"": 52, ""type"": ""sample-material""}, {""token"": ""food supplement"", ""start_span"": 72, ""end_span"": 87, ""type"": ""sample-material""}, {""token"": ""lysed fine bran"", ""start_span"": 102, ""end_span"": 117, ""type"": ""sample-material""}]"	train
Then, each sourdough was propagated for 5 consecutive days, by one daily back - slopping step, using 90 g of flour ( IF in all the cases, except for the C dough), 45 g of fermented dough, and 45 g of sterile tap water.	flour,109,114,sample-material	IF,117,119,sample-material	dough,155,160,sample-material	fermented dough,171,186,sample-material	"[{""token"": ""flour"", ""start_span"": 109, ""end_span"": 114, ""type"": ""sample-material""}, {""token"": ""IF"", ""start_span"": 117, ""end_span"": 119, ""type"": ""sample-material""}, {""token"": ""dough"", ""start_span"": 155, ""end_span"": 160, ""type"": ""sample-material""}, {""token"": ""fermented dough"", ""start_span"": 171, ""end_span"": 186, ""type"": ""sample-material""}]"	train
In order to obtain artificially assembled microbial communities, eight doughs ( dough yield 160) were prepared with IF and initially inoculated with different combinations ( Table 2) of the following microorganisms isolated from non - irradiated flour: Pediococcus pentosaceus A1, Saccharomyces cerevisiae SDA1, Pantoea agglomerans DTB8, and Escherichia hermannii PS2.	doughs,71,77,sample-material	dough,80,85,sample-material	IF,116,118,sample-material	non - irradiated flour,229,251,sample-material	"[{""token"": ""doughs"", ""start_span"": 71, ""end_span"": 77, ""type"": ""sample-material""}, {""token"": ""dough"", ""start_span"": 80, ""end_span"": 85, ""type"": ""sample-material""}, {""token"": ""IF"", ""start_span"": 116, ""end_span"": 118, ""type"": ""sample-material""}, {""token"": ""non - irradiated flour"", ""start_span"": 229, ""end_span"": 251, ""type"": ""sample-material""}]"	train
Pellets from 40 ml of water kefir liquor or 2. 2 g of water kefir grains ( in 11 aliquots of 0. 2 g, due to the high volume of water kefir grains) were used as input material for the DNA extraction protocol that was carried out in tubes.	Pellets,0,7,sample-material	water kefir liquor,22,40,sample-material	water kefir grains,54,72,sample-material	water kefir grains,127,145,sample-material	"[{""token"": ""Pellets"", ""start_span"": 0, ""end_span"": 7, ""type"": ""sample-material""}, {""token"": ""water kefir liquor"", ""start_span"": 22, ""end_span"": 40, ""type"": ""sample-material""}, {""token"": ""water kefir grains"", ""start_span"": 54, ""end_span"": 72, ""type"": ""sample-material""}, {""token"": ""water kefir grains"", ""start_span"": 127, ""end_span"": 145, ""type"": ""sample-material""}]"	train
Specifically, data sets of the sequence reads for the different granular sludge can be found under the following NCBI BioSample accession numbers: SAMN02649632 for the sulfate - rich thermophilic granules, SAMN02649633 for the brewery granules, and SAMN02649634 for the paper mill granules.	granular sludge,64,79,sample-material	sulfate - rich thermophilic granules,168,204,sample-material	brewery granules,227,243,sample-material	paper mill granules,270,289,sample-material	"[{""token"": ""granular sludge"", ""start_span"": 64, ""end_span"": 79, ""type"": ""sample-material""}, {""token"": ""sulfate - rich thermophilic granules"", ""start_span"": 168, ""end_span"": 204, ""type"": ""sample-material""}, {""token"": ""brewery granules"", ""start_span"": 227, ""end_span"": 243, ""type"": ""sample-material""}, {""token"": ""paper mill granules"", ""start_span"": 270, ""end_span"": 289, ""type"": ""sample-material""}]"	train
The bottles running with steam - exploded birch with applied bioaugmentation ( pretreated + 215% v / v) received the same amount of steam - exploded material and inoculum, and different volumes of C. bescii culture, corresponding to 2, 5, 10, and 15% v / v of the volume of the inoculum.	steam - exploded birch,25,47,sample-material	steam - exploded material,132,157,sample-material	inoculum,162,170,sample-material	inoculum,278,286,sample-material	"[{""token"": ""steam - exploded birch"", ""start_span"": 25, ""end_span"": 47, ""type"": ""sample-material""}, {""token"": ""steam - exploded material"", ""start_span"": 132, ""end_span"": 157, ""type"": ""sample-material""}, {""token"": ""inoculum"", ""start_span"": 162, ""end_span"": 170, ""type"": ""sample-material""}, {""token"": ""inoculum"", ""start_span"": 278, ""end_span"": 286, ""type"": ""sample-material""}]"	train
From the barite field we collected three microbial mats using a 1 L hydraulic sampling cylinder ( biosyringe), and two barite chimneys and one sediment sample using an aluminium scuffle box ( Figure 1).	barite,9,15,sample-material	microbial mats,41,55,sample-material	barite,119,125,sample-material	sediment sample,143,158,sample-material	"[{""token"": ""barite"", ""start_span"": 9, ""end_span"": 15, ""type"": ""sample-material""}, {""token"": ""microbial mats"", ""start_span"": 41, ""end_span"": 55, ""type"": ""sample-material""}, {""token"": ""barite"", ""start_span"": 119, ""end_span"": 125, ""type"": ""sample-material""}, {""token"": ""sediment sample"", ""start_span"": 143, ""end_span"": 158, ""type"": ""sample-material""}]"	train
