The sponge carriers were soaked with the master slurry sample manually and placed into the glass column in a cold room maintained at 4C.	"slurry sample	48	61	sample-material"	"[{""token"": ""slurry sample"", ""start_span"": 48, ""end_span"": 61, ""type"": ""sample-material""}]"
Determination of Alkylbenzene Utilization in hNRB Enrichments To the first set of microcosms a known volume of mesitylene ( 1, 3, 5 - trimethylbenzene) was added to the oil layer at the end of incubation period.	"oil	169	172	sample-material"	"[{""token"": ""oil"", ""start_span"": 169, ""end_span"": 172, ""type"": ""sample-material""}]"
DOC was concentrated from 20 L of Animas River water from the 32nd St. Bridge location using Agilent Bond Elute PPL columns ( Agilent Technologies, Santa Clara, CA, USA), methanol as the column eluent, and sterile deionized water as the final solvent.	"Animas River water	34	52	sample-material"	"[{""token"": ""Animas River water"", ""start_span"": 34, ""end_span"": 52, ""type"": ""sample-material""}]"
Molecular Techniques DNA Extraction Environmental DNA was extracted from the basalt panel surfaces using a large - volume CTAB ( hexadecyltrimethylammonium bromide) extraction.	"basalt	77	83	sample-material"	"[{""token"": ""basalt"", ""start_span"": 77, ""end_span"": 83, ""type"": ""sample-material""}]"
Water samples were taken in August and December 2012 using a Ruttner sampler.	"Water samples	0	13	sample-material"	"[{""token"": ""Water samples"", ""start_span"": 0, ""end_span"": 13, ""type"": ""sample-material""}]"
Non - purgeable Organic Carbon, Nitrogen, Sulfur, and Chloride Analysis Non - purgeable organic carbon ( NPOC) was measured in the Marcellus - 4 samples by a TOC / TN analyzer equipped with autosampler ( TOC - V CSN / TNM - 1 / ASI - V, Shimadzu, Kyoto, Japan).	"Marcellus - 4 samples	131	152	sample-material"	"[{""token"": ""Marcellus - 4 samples"", ""start_span"": 131, ""end_span"": 152, ""type"": ""sample-material""}]"
Arcobacter strains UTICA - S4D1 and MARC - MIP3H16 were isolated from produced fluids collected at 159 days ( from the Utica - Point Pleasant formation, Utica - 8) and 93 days ( from Marcellus Shale, Marcellus - 4) after hydraulic fracturing began, respectively ( Figure 1, Panescu et al., 2018).	"produced fluids	70	85	sample-material"	"[{""token"": ""produced fluids"", ""start_span"": 70, ""end_span"": 85, ""type"": ""sample-material""}]"
Following the inoculation of the reactors, seed sludge was acclimatised to the reactor environment at 30C with 1. 8g volatile solids ( VS) L1day1 organic loading rate ( OLR) and a hydraulic retention time ( HRT) of 20days for 190days.	"seed sludge	43	54	sample-material"	"[{""token"": ""seed sludge"", ""start_span"": 43, ""end_span"": 54, ""type"": ""sample-material""}]"
Group II This group of four lakes follows the current of the main chain of lakes and includes the largest and deepest lake of the Osterseen Lake District, Lake Grosser Ostersee, which is 2. 15 km long and 0. 83 km wide with a maximum depth of 29 m. The lakes in this group are less influenced by groundwater sources.	"groundwater	296	307	sample-material"	"[{""token"": ""groundwater"", ""start_span"": 296, ""end_span"": 307, ""type"": ""sample-material""}]"
At each sampling event, a volume of fresh synthetic feed was also added to the batch reactors to replace the sampled volume and to maintain 0. 23kg COD / ( m3day) organic loading.	"fresh synthetic feed	36	56	sample-material"	"[{""token"": ""fresh synthetic feed"", ""start_span"": 36, ""end_span"": 56, ""type"": ""sample-material""}]"
Additional liquid samples ( 4mL) for metagenomic analyses were collected in three replicates and in three time points ( days 41, 52, and 61) at steady - state condition from R1 and R3.	"liquid samples	11	25	sample-material"	"[{""token"": ""liquid samples"", ""start_span"": 11, ""end_span"": 25, ""type"": ""sample-material""}]"
Materials and methods Reactors operation and sampling Anaerobic sludge was obtained from a well - performing anaerobic lab - scale CSTR reactor that had not been exposed to any antibiotics.	"Anaerobic sludge	54	70	sample-material"	"[{""token"": ""Anaerobic sludge"", ""start_span"": 54, ""end_span"": 70, ""type"": ""sample-material""}]"
Maltose, glucose, fructose, lactic acid, acetic acid, and ethanol were determined in the water - soluble extract of sourdoughs by High Performance Liquid Chromatography ( HPLC) ( Zeppa et al., 2001), using an KTA Purifier system ( GE Healthcare Bio - Sciences, Uppsala, Sweden) equipped with a 300 mm 7. 8 mm i. d.	"sourdoughs	116	126	sample-material"	"[{""token"": ""sourdoughs"", ""start_span"": 116, ""end_span"": 126, ""type"": ""sample-material""}]"
