Sentence	entity_1	entity_2	json	split
The sponge carriers were soaked with the master slurry sample manually and placed into the glass column in a cold room maintained at 4C.	sponge carriers,4,19,site	glass column,91,103,site	"[{""token"": ""sponge carriers"", ""start_span"": 4, ""end_span"": 19, ""type"": ""site""}, {""token"": ""glass column"", ""start_span"": 91, ""end_span"": 103, ""type"": ""site""}]"	test
Subsurface sediments of all zones ( > 2m below sea floor) were obtained by gravity corer.	Subsurface,0,10,site	> 2m below sea floor,36,56,site	"[{""token"": ""Subsurface"", ""start_span"": 0, ""end_span"": 10, ""type"": ""site""}, {""token"": ""> 2m below sea floor"", ""start_span"": 36, ""end_span"": 56, ""type"": ""site""}]"	test
On day 62 ( time point A) and day 177 ( time point B), all reactors were opened and the carbon substrate from the center of the reactors and the planktonic phase from between the wood chips were sampled.	center of the reactors,114,136,site	between the wood chips,167,189,site	"[{""token"": ""center of the reactors"", ""start_span"": 114, ""end_span"": 136, ""type"": ""site""}, {""token"": ""between the wood chips"", ""start_span"": 167, ""end_span"": 189, ""type"": ""site""}]"	test
Overall, field evidence suggests that hyperalkaline seepages are numerous and are active late in the baseflow period of perennial streams ( December to April).	seepages,52,60,site	streams,130,137,site	"[{""token"": ""seepages"", ""start_span"": 52, ""end_span"": 60, ""type"": ""site""}, {""token"": ""streams"", ""start_span"": 130, ""end_span"": 137, ""type"": ""site""}]"	test
To investigate potential sources of the microorganisms in the cryoconite holes we also collected a total of eleven samples from different surface habitats nearby for DNA sequencing.	cryoconite holes,62,78,site	surface habitats,138,154,site	"[{""token"": ""cryoconite holes"", ""start_span"": 62, ""end_span"": 78, ""type"": ""site""}, {""token"": ""surface habitats"", ""start_span"": 138, ""end_span"": 154, ""type"": ""site""}]"	test
MATERIALS AND METHODS Sampling and physiochemical measurements Benthic mat samples were collected on 26 June 2012 at 16: 00 PDT ( photon flux 490 mol photons PAR m2 s1; due to partial cloudiness) and 27 June 2012 at 01: 00 PDT ( photon flux 0 mol photons PAR m2 s1) and at 16: 00 PDT ( photon flux 1225 mol photon PAR m2 s1) from a water depth of 3540cm located in northeastern Washington state ( USA) ( 48. 97347119. 476322).	Benthic,63,70,site	water depth of 3540cm,332,353,site	"[{""token"": ""Benthic"", ""start_span"": 63, ""end_span"": 70, ""type"": ""site""}, {""token"": ""water depth of 3540cm"", ""start_span"": 332, ""end_span"": 353, ""type"": ""site""}]"	test
Spring samples were collected according to following criteria: evidence of continuous water flow from the rock, close to bubbling zones, and near the most reductive point.	close to bubbling zones,112,135,site	near the most reductive point,141,170,site	"[{""token"": ""close to bubbling zones"", ""start_span"": 112, ""end_span"": 135, ""type"": ""site""}, {""token"": ""near the most reductive point"", ""start_span"": 141, ""end_span"": 170, ""type"": ""site""}]"	test
SourceTracker ( v. 0. 9. 5) [ 26] was used to predict the source of the bacterial and eukaryotic communities using the cryoconite hole samples as sinks and lake, soil, endolith and snow samples as potential sources of microbial inputs.	cryoconite hole,119,134,site	sinks,146,151,site	"[{""token"": ""cryoconite hole"", ""start_span"": 119, ""end_span"": 134, ""type"": ""site""}, {""token"": ""sinks"", ""start_span"": 146, ""end_span"": 151, ""type"": ""site""}]"	test
Six samples were obtained from the uppermost 100 m at 15 m intervals using a hose attached to a CTD ( Seabird).	uppermost 100 m,35,50,site	15 m,54,58,site	"[{""token"": ""uppermost 100 m"", ""start_span"": 35, ""end_span"": 50, ""type"": ""site""}, {""token"": ""15 m"", ""start_span"": 54, ""end_span"": 58, ""type"": ""site""}]"	train
Materials and methods Sampling and inoculation Sediment samples were taken from the intertidal flat Janssand located in the Central German Wadden Sea south of the Eastern Friesian Island Spiekeroog.	intertidal flat,84,99,site	Janssand,100,108,site	"[{""token"": ""intertidal flat"", ""start_span"": 84, ""end_span"": 99, ""type"": ""site""}, {""token"": ""Janssand"", ""start_span"": 100, ""end_span"": 108, ""type"": ""site""}]"	train
Materials and Methods Study Sites, Sampling, and Edaphic Characterization Soil cores were collected from the southern and northern shores of Kongsfjorden, Svalbard in late August 2010, when the active layer depths were at their maximum ( Gray et al., 2014).	southern and northern shores,109,137,site	active layer,194,206,site	"[{""token"": ""southern and northern shores"", ""start_span"": 109, ""end_span"": 137, ""type"": ""site""}, {""token"": ""active layer"", ""start_span"": 194, ""end_span"": 206, ""type"": ""site""}]"	train
