Sentence	entity_1	entity_2	entity_3	entity_4	json	split
DNA extraction, PCR, sequencing and data analysis Biomass for DNA extraction was collected three times per week, both from the withdrawn reactor samples ( granular phase) and from the effluent ( suspended phase), at the end of the aerated phase.	granular phase,155,169,site	effluent,184,192,site	suspended phase,195,210,site	end of the aerated phase,220,244,site	"[{""token"": ""granular phase"", ""start_span"": 155, ""end_span"": 169, ""type"": ""site""}, {""token"": ""effluent"", ""start_span"": 184, ""end_span"": 192, ""type"": ""site""}, {""token"": ""suspended phase"", ""start_span"": 195, ""end_span"": 210, ""type"": ""site""}, {""token"": ""end of the aerated phase"", ""start_span"": 220, ""end_span"": 244, ""type"": ""site""}]"	test
Arcobacter strains UTICA - S4D1 and MARC - MIP3H16 were isolated from produced fluids collected at 159 days ( from the Utica - Point Pleasant formation, Utica - 8) and 93 days ( from Marcellus Shale, Marcellus - 4) after hydraulic fracturing began, respectively ( Figure 1, Panescu et al., 2018).	Utica - Point Pleasant formation,119,151,site	Utica - 8,153,162,site	Marcellus Shale,183,198,site	Marcellus - 4,200,213,site	"[{""token"": ""Utica - Point Pleasant formation"", ""start_span"": 119, ""end_span"": 151, ""type"": ""site""}, {""token"": ""Utica - 8"", ""start_span"": 153, ""end_span"": 162, ""type"": ""site""}, {""token"": ""Marcellus Shale"", ""start_span"": 183, ""end_span"": 198, ""type"": ""site""}, {""token"": ""Marcellus - 4"", ""start_span"": 200, ""end_span"": 213, ""type"": ""site""}]"	test
Sequences analyzed in a previous study of the microbial diversity of Mono Lake by Humayoun et al. ( 2003), who sampled different depths from the same redox zones at Station 6 ( 2 m, aerobic; 17. 5 m, microaerophilic, 23 m, anoxic; and 35 m, sulfidic, see Humayoun et al., 2003), were downloaded from NCBI GenBank ( n = 274).	redox zones,150,161,site	2 m,177,180,site	23 m,217,221,site	35 m,235,239,site	"[{""token"": ""redox zones"", ""start_span"": 150, ""end_span"": 161, ""type"": ""site""}, {""token"": ""2 m"", ""start_span"": 177, ""end_span"": 180, ""type"": ""site""}, {""token"": ""23 m"", ""start_span"": 217, ""end_span"": 221, ""type"": ""site""}, {""token"": ""35 m"", ""start_span"": 235, ""end_span"": 239, ""type"": ""site""}]"	test
From the BaCh1 chimney, the following samples were collected: gray ( BaCh1GC) and black ( BaCh1BC) material from the flow channels, white barite from the chimney wall interior ( BaCh1W), and the light yellowish exterior ( BaCh1O).	BaCh1 chimney,9,22,site	flow channels,117,130,site	chimney wall interior,154,175,site	light yellowish exterior,195,219,site	"[{""token"": ""BaCh1 chimney"", ""start_span"": 9, ""end_span"": 22, ""type"": ""site""}, {""token"": ""flow channels"", ""start_span"": 117, ""end_span"": 130, ""type"": ""site""}, {""token"": ""chimney wall interior"", ""start_span"": 154, ""end_span"": 175, ""type"": ""site""}, {""token"": ""light yellowish exterior"", ""start_span"": 195, ""end_span"": 219, ""type"": ""site""}]"	train
The diffuse, low - temperature venting area on the northeastern flank of the hydrothermal mound ( Figure S1B) is characterized by patchy dense colonization by siboglinid tubeworms ( Sclerolinum contortum) ( Kongsrud and Rapp, 2012) and small mound - to chimney - like structures ( 1 m tall) of barite ( Figures 1AE), which demonstrate active venting by being partially covered by thick ( several cm), white microbial mats ( Figures 1AD; Figure S2A).	venting area,31,43,site	northeastern flank of the hydrothermal mound,51,95,site	small mound,236,247,site	chimney - like structures,253,278,site	"[{""token"": ""venting area"", ""start_span"": 31, ""end_span"": 43, ""type"": ""site""}, {""token"": ""northeastern flank of the hydrothermal mound"", ""start_span"": 51, ""end_span"": 95, ""type"": ""site""}, {""token"": ""small mound"", ""start_span"": 236, ""end_span"": 247, ""type"": ""site""}, {""token"": ""chimney - like structures"", ""start_span"": 253, ""end_span"": 278, ""type"": ""site""}]"	train
35. 69N 93. 00E 3. 85 m below sediment surface Saline October 28, 2010 SSL Shisanling Reservoir in Beijing 40. 26N 116. 25E Surface sediment Freshwater October 1, 2012 B43 Yellow Sea 38. 10N 122. 00E Surface sediment Seawater August 12, 2011 B46 Yellow Sea 37. 90N 122. 50E Surface sediment Seawater August 12, 2011 DHa - 1 East China Sea 30. 50N 122. 50E Surface sediment Seawater August 14, 2011 DW03 South China Sea 2. 95N 105. 84E Water sample Seawater July 13, 2012 Locations of water and sediment samples used in this study.	Surface sediment,124,140,site	Surface sediment,200,216,site	Surface sediment,274,290,site	Surface sediment,356,372,site	"[{""token"": ""Surface sediment"", ""start_span"": 124, ""end_span"": 140, ""type"": ""site""}, {""token"": ""Surface sediment"", ""start_span"": 200, ""end_span"": 216, ""type"": ""site""}, {""token"": ""Surface sediment"", ""start_span"": 274, ""end_span"": 290, ""type"": ""site""}, {""token"": ""Surface sediment"", ""start_span"": 356, ""end_span"": 372, ""type"": ""site""}]"	train
Sediments were sampled from a range of water depths, and were distributed within four geologic provinces: the Abyssal Plain ( n = 66; average water depth = 3024m), the De Soto Valley ( n = 19; average water depth = 2143m), the Mississippi Canyon ( n = 12; average water depth = 982m), and the West Florida Shelf ( n = 14; average water depth = 942m).	average water depth = 3024m,134,161,site	average water depth = 2143m,193,220,site	average water depth = 982m,256,282,site	average water depth = 942m,322,348,site	"[{""token"": ""average water depth = 3024m"", ""start_span"": 134, ""end_span"": 161, ""type"": ""site""}, {""token"": ""average water depth = 2143m"", ""start_span"": 193, ""end_span"": 220, ""type"": ""site""}, {""token"": ""average water depth = 982m"", ""start_span"": 256, ""end_span"": 282, ""type"": ""site""}, {""token"": ""average water depth = 942m"", ""start_span"": 322, ""end_span"": 348, ""type"": ""site""}]"	train
Spatulas were also used to collect the inner 12 mm of burrow wall sediments from burrows containing Alitta virens ( n = 5), and from burrows formed by S. bromophenolosus ( n = 6); the latter were readily identified by their distinctive iron oxide deposits.	inner 12 mm,39,50,site	burrow wall,54,65,site	burrows,81,88,site	burrows,133,140,site	"[{""token"": ""inner 12 mm"", ""start_span"": 39, ""end_span"": 50, ""type"": ""site""}, {""token"": ""burrow wall"", ""start_span"": 54, ""end_span"": 65, ""type"": ""site""}, {""token"": ""burrows"", ""start_span"": 81, ""end_span"": 88, ""type"": ""site""}, {""token"": ""burrows"", ""start_span"": 133, ""end_span"": 140, ""type"": ""site""}]"	train
In addition to the active venting barite field, an extinct vent area with barite - rich silica chimneys ( Figure 1G; Figure S2B) is present further to the southwest of the hydrothermal mound ( Figure S1B).	active venting barite field,19,46,site	vent area,59,68,site	barite - rich silica chimneys,74,103,site	southwest of the hydrothermal mound,155,190,site	"[{""token"": ""active venting barite field"", ""start_span"": 19, ""end_span"": 46, ""type"": ""site""}, {""token"": ""vent area"", ""start_span"": 59, ""end_span"": 68, ""type"": ""site""}, {""token"": ""barite - rich silica chimneys"", ""start_span"": 74, ""end_span"": 103, ""type"": ""site""}, {""token"": ""southwest of the hydrothermal mound"", ""start_span"": 155, ""end_span"": 190, ""type"": ""site""}]"	train
At Magallanes, Mycale samples were collected from Macrocystis pyrifera beds at 5 m depth, whereas in Antarctica, samples were collected in Himantothallus grandifolius beds between 10 to 20 m depth.	Macrocystis pyrifera beds,50,75,site	5 m depth,79,88,site	Himantothallus grandifolius beds,139,171,site	between 10 to 20 m depth,172,196,site	"[{""token"": ""Macrocystis pyrifera beds"", ""start_span"": 50, ""end_span"": 75, ""type"": ""site""}, {""token"": ""5 m depth"", ""start_span"": 79, ""end_span"": 88, ""type"": ""site""}, {""token"": ""Himantothallus grandifolius beds"", ""start_span"": 139, ""end_span"": 171, ""type"": ""site""}, {""token"": ""between 10 to 20 m depth"", ""start_span"": 172, ""end_span"": 196, ""type"": ""site""}]"	train
