Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Notably, unFirm _ 1 - like populations were found in other high - ammonia biogas installations, conjecturing a broader importance for this novel clade of SAOB in anaerobic fermentations.	high - ammonia,59,73,state	biogas,74,80,state	SAOB,154,158,state	anaerobic fermentations,162,185,state	"[{""token"": ""high - ammonia"", ""start_span"": 59, ""end_span"": 73, ""type"": ""state""}, {""token"": ""biogas"", ""start_span"": 74, ""end_span"": 80, ""type"": ""state""}, {""token"": ""SAOB"", ""start_span"": 154, ""end_span"": 158, ""type"": ""state""}, {""token"": ""anaerobic fermentations"", ""start_span"": 162, ""end_span"": 185, ""type"": ""state""}]"	test
Group II This group of four lakes follows the current of the main chain of lakes and includes the largest and deepest lake of the Osterseen Lake District, Lake Grosser Ostersee, which is 2. 15 km long and 0. 83 km wide with a maximum depth of 29 m. The lakes in this group are less influenced by groundwater sources.	largest,98,105,state	deepest,110,117,state	maximum depth of 29 m,226,247,state	less influenced by groundwater sources,277,315,state	"[{""token"": ""largest"", ""start_span"": 98, ""end_span"": 105, ""type"": ""state""}, {""token"": ""deepest"", ""start_span"": 110, ""end_span"": 117, ""type"": ""state""}, {""token"": ""maximum depth of 29 m"", ""start_span"": 226, ""end_span"": 247, ""type"": ""state""}, {""token"": ""less influenced by groundwater sources"", ""start_span"": 277, ""end_span"": 315, ""type"": ""state""}]"	test
Twelve samples collected in the bioreactor from the start - up, steady - state, overloading and recovery periods of the AnMBR process were analyzed.	start - up,52,62,state	steady - state,64,78,state	overloading,80,91,state	recovery,96,104,state	"[{""token"": ""start - up"", ""start_span"": 52, ""end_span"": 62, ""type"": ""state""}, {""token"": ""steady - state"", ""start_span"": 64, ""end_span"": 78, ""type"": ""state""}, {""token"": ""overloading"", ""start_span"": 80, ""end_span"": 91, ""type"": ""state""}, {""token"": ""recovery"", ""start_span"": 96, ""end_span"": 104, ""type"": ""state""}]"	test
In addition, trace elements ( DIN ISO 11885), nutrients ( DIN ISO 11885), fatty acids ( DIN 38409 H21), dry substance ( DIN EN 12880), organic dry substance ( DIN EN 12879), total nitrogen ( DIN ISO 11261), and ammonia nitrogen ( DIN 38406 - E 5) were determined by an external service laboratory ( Schmack Biogas GmbH, Schwandorf, Germany).	fatty acids,74,85,state	total nitrogen,174,188,state	ammonia nitrogen,211,227,state	Biogas,307,313,state	"[{""token"": ""fatty acids"", ""start_span"": 74, ""end_span"": 85, ""type"": ""state""}, {""token"": ""total nitrogen"", ""start_span"": 174, ""end_span"": 188, ""type"": ""state""}, {""token"": ""ammonia nitrogen"", ""start_span"": 211, ""end_span"": 227, ""type"": ""state""}, {""token"": ""Biogas"", ""start_span"": 307, ""end_span"": 313, ""type"": ""state""}]"	test
Here we show that with 16 weeks of KD, mice had significant increases in CBF and P - glycoprotein transports on BBB to facilitate clearance of amyloid - beta, a hallmark of Alzheimers disease ( AD).	16 weeks,23,31,state	CBF,73,76,state	P - glycoprotein transports on BBB,81,115,state	clearance of amyloid - beta,130,157,state	"[{""token"": ""16 weeks"", ""start_span"": 23, ""end_span"": 31, ""type"": ""state""}, {""token"": ""CBF"", ""start_span"": 73, ""end_span"": 76, ""type"": ""state""}, {""token"": ""P - glycoprotein transports on BBB"", ""start_span"": 81, ""end_span"": 115, ""type"": ""state""}, {""token"": ""clearance of amyloid - beta"", ""start_span"": 130, ""end_span"": 157, ""type"": ""state""}]"	test
For K / BxN colonization experiments, three - week - old SPF K / BxN mice were treated with ampicillin ( 1g / L), neomycin ( 1g / L), and metronidazole ( 1g / L) for 10 days.	K / BxN,4,11,state	three - week - old,38,56,state	SPF,57,60,state	K / BxN,61,68,state	"[{""token"": ""K / BxN"", ""start_span"": 4, ""end_span"": 11, ""type"": ""state""}, {""token"": ""three - week - old"", ""start_span"": 38, ""end_span"": 56, ""type"": ""state""}, {""token"": ""SPF"", ""start_span"": 57, ""end_span"": 60, ""type"": ""state""}, {""token"": ""K / BxN"", ""start_span"": 61, ""end_span"": 68, ""type"": ""state""}]"	test
Hydrogen sulfide and nitrogen gas were continuously supplied, whereas the oxygen and carbon dioxide dosing rates were pulse - wise controlled with a multiparameter transmitter ( Liquiline CM442 - 1102 / 0, Endress + Hauser, Germany) based on the signals from a redox sensor, equipped with an internal Ag / AgCl reference electrode ( Orbisint 12D - 7PA41; Endress + Hauser, Germany) and a pH sensor ( Orbisint 11D - 7AA41; Endress + Hauser, Germany).	Hydrogen sulfide,0,16,state	nitrogen gas,21,33,state	oxygen,74,80,state	carbon dioxide,85,99,state	"[{""token"": ""Hydrogen sulfide"", ""start_span"": 0, ""end_span"": 16, ""type"": ""state""}, {""token"": ""nitrogen gas"", ""start_span"": 21, ""end_span"": 33, ""type"": ""state""}, {""token"": ""oxygen"", ""start_span"": 74, ""end_span"": 80, ""type"": ""state""}, {""token"": ""carbon dioxide"", ""start_span"": 85, ""end_span"": 99, ""type"": ""state""}]"	test
MATERIALS AND METHODS Sampling and physiochemical measurements Benthic mat samples were collected on 26 June 2012 at 16: 00 PDT ( photon flux 490 mol photons PAR m2 s1; due to partial cloudiness) and 27 June 2012 at 01: 00 PDT ( photon flux 0 mol photons PAR m2 s1) and at 16: 00 PDT ( photon flux 1225 mol photon PAR m2 s1) from a water depth of 3540cm located in northeastern Washington state ( USA) ( 48. 97347119. 476322).	photon flux 490 mol photons PAR m2 s1,130,167,state	partial cloudiness,176,194,state	photon flux 0 mol photons PAR m2 s1,229,264,state	photon flux 1225 mol photon PAR m2 s1,286,323,state	"[{""token"": ""photon flux 490 mol photons PAR m2 s1"", ""start_span"": 130, ""end_span"": 167, ""type"": ""state""}, {""token"": ""partial cloudiness"", ""start_span"": 176, ""end_span"": 194, ""type"": ""state""}, {""token"": ""photon flux 0 mol photons PAR m2 s1"", ""start_span"": 229, ""end_span"": 264, ""type"": ""state""}, {""token"": ""photon flux 1225 mol photon PAR m2 s1"", ""start_span"": 286, ""end_span"": 323, ""type"": ""state""}]"	test
Sequences analyzed in a previous study of the microbial diversity of Mono Lake by Humayoun et al. ( 2003), who sampled different depths from the same redox zones at Station 6 ( 2 m, aerobic; 17. 5 m, microaerophilic, 23 m, anoxic; and 35 m, sulfidic, see Humayoun et al., 2003), were downloaded from NCBI GenBank ( n = 274).	aerobic,182,189,state	microaerophilic,200,215,state	anoxic,223,229,state	sulfidic,241,249,state	"[{""token"": ""aerobic"", ""start_span"": 182, ""end_span"": 189, ""type"": ""state""}, {""token"": ""microaerophilic"", ""start_span"": 200, ""end_span"": 215, ""type"": ""state""}, {""token"": ""anoxic"", ""start_span"": 223, ""end_span"": 229, ""type"": ""state""}, {""token"": ""sulfidic"", ""start_span"": 241, ""end_span"": 249, ""type"": ""state""}]"	test
The remaining cohort of chicks from the sampled breeder flock was placed in the lower story of a two - story commercial broiler house ( hereafter called the monitored flock).	chicks,24,30,state	breeder,48,55,state	two - story,97,108,state	commercial,109,119,state	"[{""token"": ""chicks"", ""start_span"": 24, ""end_span"": 30, ""type"": ""state""}, {""token"": ""breeder"", ""start_span"": 48, ""end_span"": 55, ""type"": ""state""}, {""token"": ""two - story"", ""start_span"": 97, ""end_span"": 108, ""type"": ""state""}, {""token"": ""commercial"", ""start_span"": 109, ""end_span"": 119, ""type"": ""state""}]"	test
