Y Chromosome	"Y Chromosome	0	12	GO_ontology"	"[{""token"": ""Y Chromosome"", ""start_span"": 0, ""end_span"": 12, ""type"": ""GO_ontology""}]"
The Y chromosome has been implicated in strain specific blood pressure differences in rats [ 23, 24].	"Y chromosome	4	16	GO_ontology"	"[{""token"": ""Y chromosome"", ""start_span"": 4, ""end_span"": 16, ""type"": ""GO_ontology""}]"
The 129 Y Chr had been backcrossed to strain C57BL / 6J for 11 generations.	"Y Chr	8	13	GO_ontology"	"[{""token"": ""Y Chr"", ""start_span"": 8, ""end_span"": 13, ""type"": ""GO_ontology""}]"
These include alteration of the number of ipsilaterally projecting retinal axons and substantially increased light penetration past the iris [ 74].	"axons	75	80	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 75, ""end_span"": 80, ""type"": ""GO_ontology""}]"
Cells with mutant BRCA2 protein are, like many cancer cells, genetically unstable and accumulate gross chromosomal rearrangements [ 5, 6].	"chromosomal	103	114	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 103, ""end_span"": 114, ""type"": ""GO_ontology""}]"
BRCA1 and BRCA2 form discrete nuclear foci during the S phase and after exposure to DNA damaging agents [ 9, 10, 11].	"nuclear	30	37	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 30, ""end_span"": 37, ""type"": ""GO_ontology""}]"
Cells lacking BRCA1 / 2 fail to form damage - induced subnuclear RAD51 foci with normal efficiency, suggesting that these proteins are required for the formation of recombinase complexes at the sites of DNA damage [ 20, 21].	"complexes	177	186	GO_ontology"	"[{""token"": ""complexes"", ""start_span"": 177, ""end_span"": 186, ""type"": ""GO_ontology""}]"
It is possible that RAD51 may alternatively be capable of BRCA2 - independent transport, but mislocalization of BRCA2 to the cytoplasm may sequester RAD51 and block its normal mode of transport.	"cytoplasm	125	134	GO_ontology"	"[{""token"": ""cytoplasm"", ""start_span"": 125, ""end_span"": 134, ""type"": ""GO_ontology""}]"
Given the elaborate nature of the RAD51 - BRCA2 interaction, it seems somewhat unlikely that the only role of BRCA2 in promoting recombination is to serve as a specific nuclear transporter of RAD51.	"nuclear	169	176	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 169, ""end_span"": 176, ""type"": ""GO_ontology""}]"
In the absence of this interaction with BRCA2, RAD51 might exist in a form that is not capable of being recruited into a functional repair complex when damage occurs.	"complex	139	146	GO_ontology"	"[{""token"": ""complex"", ""start_span"": 139, ""end_span"": 146, ""type"": ""GO_ontology""}]"
BRCA2 may thus promote RAD51 assembly into recombinational repair complexes via a negative regulatory mechanism ( i. e. by blocking RAD51 - BRCA2 interaction until damage has occurred and factors required for ' productive ' assembly of RAD51 at damaged sites are in place).	"complexes	66	75	GO_ontology"	"[{""token"": ""complexes"", ""start_span"": 66, ""end_span"": 75, ""type"": ""GO_ontology""}]"
